ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Cristiano Ronaldo,Forward,Portugal,7.0928571428571425,0.553191,0.466667,0.5,24.972527,1092,14
Benjamin Pavard,Defender,France,6.871428571428572,0.509804,0.2,0.833333,50.079491,629,14
Jude Bellingham,Midfielder,England,7.623076923076923,0.542484,0.631579,0.833333,42.241379,1044,13
Bukayo Saka,Forward,England,7.418181818181818,0.541176,0.428571,0.55,27.553846,650,13
Declan Rice,Midfielder,England,7.175,0.557692,0.444444,0.470588,58.968655,989,13
Bilal El Khannouss,Midfielder,Morocco,6.857142857142857,0.535714,0.466667,0.5,43.965517,522,13
Domagoj Vida,Defender,Croatia,7.033333333333334,0.511628,1,0.6,44.714286,630,13
Nico Elvedi,Defender,Switzerland,7.0625,0.595238,0.5,0.333333,67.128335,787,13
Azzedine Ounahi,Midfielder,Morocco,7.061538461538461,0.578947,0.628571,0.75,51.032771,1007,13
Raúl Jiménez,Forward,Mexico,6.866666666666666,0.490196,,1,24,450,12
Nico Williams,Midfielder,Spain,6.58,0.394737,0.3,0.6,35.526316,266,12
Kyle Walker,Defender,England,6.95,0.656716,0.875,0.571429,66.02459,732,12
Aymeric Laporte,Defender,Spain,7.354545454545455,0.546875,,0.428571,95.953307,1028,12
Harry Maguire,Defender,England,7.241666666666667,0.68,0.7,0.5,70.493023,1075,12
Gavi,Midfielder,Spain,6.8500000000000005,0.571429,0.8,0.545455,44.634146,369,12
Ferran Torres,Forward,Spain,6.558333333333334,0.290323,0.210526,,29.223108,502,12
Edson Álvarez,Midfielder,Mexico,6.83,0.565217,0.888889,0.777778,53.589744,702,12
Yuto Nagatomo,Defender,Japan,6.644444444444444,0.520833,0.857143,0.75,37.474403,586,12
Dani Olmo,Midfielder,Spain,7.016666666666667,0.468085,0.419355,0.583333,43.592121,863,12
