ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Facundo Medina,Defender,Argentina,6.925,0.636364,,0.777778,41.650485,309,8
Mike Maignan,Goalkeeper,France,6.8375,0.75,,,23.392613,731,8
Marc Cucurella,Defender,Spain,7.1,0.486486,0.5,0.5,50.64,750,8
Koke,Midfielder,Spain,6.82,0.473684,0.666667,0.833333,108.064516,279,8
Ao Tanaka,Midfielder,Japan,6.916666666666667,0.638889,1,0.583333,56.219178,365,8
Anthony Gordon,Forward,England,6.883333333333333,0.380952,0.333333,0.6,22.718447,412,8
Désiré Doué,Forward,France,6.875,0.4375,0.36,0.666667,42.689487,409,8
James Rodríguez,Midfielder,Colombia,7.05,0.468085,0.692308,0.4,61.791045,469,8
Jérémy Doku,Midfielder,Belgium,6.766666666666667,0.507937,0.461538,1,28.832335,334,8
Shogo Taniguchi,Defender,Japan,6.68,0.590909,,,42.857143,441,8
Ivan Strinić,Defender,Croatia,6.483333333333333,0.479452,0.5,0.416667,42.798434,511,7
Phil Jones,Defender,England,6.75,0.529412,,0.5,72.5,180,7
Dele Alli,Midfielder,England,6.779999999999999,0.547619,0.25,0.428571,37.907609,368,7
Seung Ho Paik,Midfielder,South Korea,6.8999999999999995,0.625,,0.5,71.688312,231,7
Reece James,Defender,England,6.779999999999999,0.538462,0.5,0.5,46.238532,327,7
Félix Torres,Defender,Ecuador,6.9,0.611111,,1,65.512367,283,7
Paul Pogba,Midfielder,France,7.266666666666667,0.54717,0.8,0.846154,51.428571,539,7
Christian Eriksen,Midfielder,Denmark,7.171428571428572,0.346939,0.416667,0.666667,48.818182,660,7
Jesse Lingard,Forward,England,6.883333333333333,0.4,0.727273,0.5,38.766603,527,7
Youssouf Sabaly,Defender,Senegal,6.857142857142857,0.523077,0.7,0.875,39.869707,614,7
Kang-in Lee,Midfielder,South Korea,7.071428571428571,0.588235,0.785714,0.5,45.734266,429,7
Andreas Cornelius,Forward,Denmark,6.7,0.46988,0.666667,,24.901186,253,7
Achraf Dari,Defender,Morocco,6.933333333333334,0.411765,,,53.42246,187,7
Danny Rose,Defender,England,6.56,0.551724,0.6,0.333333,33.694581,203,7
Kamaldeen Sulemana,Forward,Ghana,6.5,0.4,0.3,0.5,22.258065,186,7
Leroy Sané,Midfielder,Germany,6.75,0.301887,0.217391,0.571429,50.136986,438,7
Simon Kjær,Defender,Denmark,7.08,0.393939,,0.666667,54.791209,455,7
Mario Mandžukić,Forward,Croatia,7.366666666666667,0.53,0.666667,0.916667,26.052632,608,7
Woo-Young Jung,Midfielder,South Korea,6.628571428571428,0.361702,0.5,0.75,55.75406,431,7
Robert Lewandowski,Forward,Poland,6.8428571428571425,0.421488,0.4,1,22.714286,630,7
Hirving Lozano,Forward,Mexico,7.357142857142857,0.547826,0.677419,0.357143,20.589255,577,7
Josip Pivarić,Defender,Croatia,6.775,0.521739,0.888889,0.666667,57.6,200,7
Jamal Musiala,Midfielder,Germany,7,0.495935,0.618182,0.666667,35.320755,530,7
Jawad El Yamiq,Defender,Morocco,7,0.875,,0.5,47.337662,308,7
Corentin Tolisso,Midfielder,France,6.659999999999999,0.413793,0.333333,0.333333,59.552239,201,7
Hwang In-beom,Midfielder,South Korea,6.942857142857143,0.377778,0.25,0.714286,68.316832,606,7
Piero Hincapié,Defender,Ecuador,6.7,0.544118,0.2,0.473684,54.206219,611,7
Samuel Umtiti,Defender,France,6.833333333333333,0.666667,1,0.75,34.666667,540,7
Rahman Baba,Defender,Ghana,6.3999999999999995,0.391304,0.25,0.6,31.546392,194,7
Antoine Semenyo,Midfielder,Ghana,6.383333333333333,0.355556,0.4,1,15.348837,387,7
Randal Kolo Muani,Forward,France,7.033333333333334,0.545455,0.375,0.714286,20.5,180,7
Edinson Cavani,Forward,Uruguay,7.414285714285714,0.5625,1,0.666667,23.948498,466,7
Dedryck Boyata,Defender,Belgium,6.966666666666666,0.6,,,65.666667,270,7
Hector Herrera,Midfielder,Mexico,6.783333333333334,0.477778,0.5,0.631579,48.238636,528,7
Ashley Young,Defender,England,6.779999999999999,0.322581,0.666667,0.75,36.233766,462,7
Josip Juranović,Midfielder,Croatia,7.133333333333333,0.677419,0.5,0.666667,47.4,600,7
Nacer Chadli,Midfielder,Belgium,7.06,0.465116,0.538462,0.4,42.385321,327,7
Jan Bednarek,Defender,Poland,7.05,0.714286,1,1,66.176471,238,7
Bruno Petkovic,Forward,Croatia,6.733333333333333,0.490909,0.666667,0.666667,28.565217,230,7
Kim Young-gwon,Defender,South Korea,7.042857142857143,0.5625,1,0.75,43.768116,621,7
Šime Vrsaljko,Defender,Croatia,6.866666666666667,0.5,0.428571,0.666667,43.739703,607,7
Hernán Galíndez,Goalkeeper,Ecuador,6.8428571428571425,,,,23.142857,630,7
Marouane Fellaini,Forward,Belgium,6.9799999999999995,0.492308,0.75,0.857143,37.732919,322,7
Fabian Schar,Defender,Switzerland,6.840000000000001,0.581395,,0.5,66.444444,405,7
Aaron Mooy,Midfielder,Australia,7.057142857142857,0.553191,0.857143,0.466667,56,630,7
Youssouf Fofana,Midfielder,France,6.720000000000001,0.545455,1,0.625,44.8,225,7
Pervis Estupiñán,Midfielder,Ecuador,6.76,0.372549,0.285714,0.4,49.387187,359,7
Kai Havertz,Forward,Germany,7.416666666666667,0.42,,0.75,30.458515,458,7
Amadou Onana,Midfielder,Belgium,6.7,0.703704,1,0.375,55.023697,211,7
Kamil Grosicki,Midfielder,Poland,6.875,0.428571,1,1,20.707965,226,7
Bartosz Bereszynski,Defender,Poland,6.542857142857143,0.431034,0.3,0.375,30.821918,511,7
Enner Valencia,Forward,Ecuador,6.8428571428571425,0.375,0.285714,0.333333,14.835165,546,7
Jens Stryger Larsen,Defender,Denmark,6.7,0.47619,0.5,0.333333,28,270,7
Lawrence Ati Zigi,Goalkeeper,Ghana,7.32,,,,25.777778,405,7
César Montes,Defender,Mexico,7.028571428571429,0.571429,1,0.5,57.076923,585,7
Grzegorz Krychowiak,Midfielder,Poland,6.985714285714286,0.605634,0.5,0.588235,45.596026,604,7
Sofiane Boufal,Forward,Morocco,6.828571428571428,0.538462,0.583333,0.454545,23.153527,482,7
Jordan Ayew,Forward,Ghana,6.6000000000000005,0.455882,0.272727,1,18,440,7
Arkadiusz Milik,Forward,Poland,6.375,0.363636,1,,25.5,180,7
Wojciech Szczęsny,Goalkeeper,Poland,7.2,0.571429,,,30.333333,540,7
Gideon Mensah,Defender,Ghana,6.94,0.594595,0.6,0.75,40.580357,448,7
Iñaki Williams,Midfielder,Ghana,6.459999999999999,0.344828,1,0.5,14.684211,380,7
Kim Moon-hwan,Defender,South Korea,6.82,0.62069,0.5,0.5,42.598608,431,7
Ko Itakura,Defender,Japan,7.140000000000001,0.518519,,0.5,51.654135,399,7
Kamil Glik,Defender,Poland,6.716666666666666,0.45,,0.333333,40.5,460,7
Martin Braithwaite,Forward,Denmark,6.583333333333333,0.387097,0.8,,17.847025,353,7
Ante Rebić,Forward,Croatia,6.816666666666666,0.473214,0.730769,0.777778,19.908592,547,7
Sadio Mané,Midfielder,Senegal,6.814285714285715,0.427083,0.419355,0.571429,32.559242,633,7
Yahia Attiyat Allah,Defender,Morocco,6.6499999999999995,0.25,,0.5,29.620253,316,7
Alan Franco,Midfielder,Ecuador,6.7,0.461538,,0.666667,40.8,300,7
Ruben Loftus-Cheek,Midfielder,England,6.75,0.608696,0.8,,41.058394,274,7
Gonzalo Plata,Midfielder,Ecuador,6.685714285714285,0.4,0.409091,0.583333,32.050874,629,7
Selim Amallah,Midfielder,Morocco,6.685714285714285,0.436364,0.333333,0.692308,18.704156,409,7
Kim Min-jae,Defender,South Korea,6.8500000000000005,0.71875,1,0.6,72.306238,529,7
Willian Pacho,Defender,Ecuador,6.825,0.612903,1,0.4,60,360,7
Andreas Christensen,Defender,Denmark,7.128571428571428,0.55,,0.5,66.25,576,7
Ángelo Preciado,Midfielder,Ecuador,6.685714285714285,0.444444,0.333333,0.75,31.27321,377,7
Ivan Rakitić,Midfielder,Croatia,7.385714285714286,0.572917,0.733333,0.25,59.388715,638,7
Yann Sommer,Goalkeeper,Switzerland,6.857142857142857,0.5,1,,33.857143,630,7
Kasper Schmeichel,Goalkeeper,Denmark,7.471428571428571,0.75,,,28.772727,660,7
Gue-sung Cho,Forward,South Korea,6.75,0.430769,,,19.389068,311,7
Alidu Seidu,Defender,Ghana,6.766666666666667,0.666667,0.833333,0.714286,33.218884,233,7
Stephen Eustaquio,Midfielder,Canada,7.471428571428571,0.636364,1,0.466667,64.061896,517,7
Moisés Caicedo,Midfielder,Ecuador,7.2,0.535714,0.166667,0.733333,64.531002,629,7
Danijel Subašić,Goalkeeper,Croatia,6.966666666666666,,,,23,630,7
Piotr Zielinski,Midfielder,Poland,6.928571428571429,0.560976,0.625,0.75,45.840407,589,7
David Raum,Defender,Germany,7.1,0.435897,0.4,0.571429,48.205128,351,7
Andrés Guardado,Midfielder,Mexico,6.779999999999999,0.473684,0.571429,0.777778,36.657303,356,7
Marko Livaja,Forward,Croatia,6.6499999999999995,0.346154,,1,21.198347,242,7
Thomas Partey,Midfielder,Ghana,6.983333333333333,0.659574,0.666667,0.692308,54.5,540,6
Vahid Amiri,Defender,Iran,6.8999999999999995,0.515152,0.75,0.25,17.932331,266,6
Bryan Ruiz,Midfielder,Costa Rica,6.6,0.416667,0.666667,1,40.334448,299,6
Martin Ødegaard,Midfielder,Norway,6.94,0.416667,0.444444,0.666667,68.025478,471,6
Ali Abdi,Defender,Tunisia,6.266666666666667,0.533333,0.6,0.8125,26.848739,476,6
Alexander Sørloth,Forward,Norway,6.42,0.316667,0.1,,31.935484,341,6
Neil El Aynaoui,Midfielder,Morocco,6.833333333333333,0.476923,0.333333,0.526316,70.497336,563,6
Chadi Riad,Defender,Morocco,6.725,0.642857,0.666667,1,59.73913,345,6
Hassan Tambakti,Defender,Saudi Arabia,6.42,0.625,,0.714286,31.603053,393,6
Karim Ansarifard,Forward,Iran,6.640000000000001,0.321429,0.5,0.5,14.788732,213,6
Éric Davis,Defender,Panama,6.2,0.533333,,0.75,51.904762,189,6
Hannibal Mejbri,Midfielder,Tunisia,6.95,0.622222,0.428571,0.5,37.630662,287,6
Marcus Pedersen,Midfielder,Norway,6.5,0.263158,,1,30.889831,236,6
Redouane Halhal,Defender,Morocco,6.75,0.647059,,1,59.5,180,6
Firas Al-Buraikan,Forward,Saudi Arabia,6.466666666666666,0.421053,0.166667,0.75,20.374016,508,6
Wahbi Khazri,Forward,Tunisia,7.4799999999999995,0.387097,,0.4,24.190751,346,6
Manuel Ugarte,Midfielder,Uruguay,6.5,0.333333,0.333333,0.333333,66.774194,186,6
Pedro Miguel,Defender,Qatar,6.6499999999999995,0.627451,0.8,0.666667,27.861163,533,6
Héctor Moreno,Defender,Mexico,6.583333333333333,0.512195,,0.833333,56.333333,540,6
Nuno Mendes,Defender,Portugal,7.416666666666667,0.529412,0.409091,0.666667,56.583144,439,6
Edouard Mendy,Goalkeeper,Senegal,6.3500000000000005,0.75,,,27.54386,513,6
Brandon Mechele,Defender,Belgium,6.933333333333334,0.590909,1,0.571429,63.704348,575,6
İlkay Gündoğan,Midfielder,Germany,7.05,0.545455,1,0.25,79.243028,251,6
Dušan Tadić,Forward,Serbia,7.183333333333334,0.47541,0.538462,0.666667,32.648752,521,6
Shoja Khalilzadeh,Defender,Iran,7.1000000000000005,0.583333,,0.428571,47,270,6
Abdulelah Al-Amri,Defender,Saudi Arabia,6.816666666666666,0.611111,,0.5,41.490826,436,6
Anass Salah-Eddine,Defender,Morocco,6.6,0.52381,,0.714286,64.95283,212,6
Ismael Saibari,Midfielder,Morocco,7.140000000000001,0.416667,0.571429,0.666667,23.142857,385,6
José Luis Rodríguez,Midfielder,Panama,6.233333333333333,0.384615,0.416667,0.75,19.58159,478,6
Nicolas Raskin,Midfielder,Belgium,7.166666666666667,0.47619,0.5,0.5,60.086705,346,6
Saud Abdulhamid,Midfielder,Saudi Arabia,6.6000000000000005,0.583333,0.75,0.647059,31.22449,539,6
Oscar Bobb,Midfielder,Norway,6.783333333333334,0.461538,0.222222,0.5,40.171674,233,6
Nikola Milenković,Defender,Serbia,7.016666666666667,0.653061,,0.533333,46.333333,540,6
Bryan Oviedo,Defender,Costa Rica,6.5,0.555556,,0.75,25.918367,441,6
Sardar Azmoun,Forward,Iran,6.633333333333333,0.453333,0.333333,0.333333,20,396,6
Mathías Olivera,Defender,Uruguay,7.066666666666666,0.584615,0.428571,0.529412,56.742857,525,6
Federico Valverde,Midfielder,Uruguay,7.033333333333334,0.409091,0.625,0.6,53.254438,507,6
Sander Berge,Midfielder,Norway,6.88,0.466667,1,0.666667,80.8125,480,6
Meshaal Barsham,Goalkeeper,Qatar,6.1,,,,26.5,180,6
Ali Maâloul,Defender,Tunisia,6.133333333333333,0.384615,1,0.5,44.666667,270,6
Anis Ben Slimane,Midfielder,Tunisia,6.4799999999999995,0.404762,,0.6,25.484694,392,6
Celso Borges,Midfielder,Costa Rica,6.8500000000000005,0.644444,0.8,0.307692,41.976967,521,6
Abdelaziz Hatem,Midfielder,Qatar,6.45,0.3125,1,0.5,44.439834,241,6
Sergio Rochet,Goalkeeper,Uruguay,6.8,0.5,,,25.714286,315,6
Majid Hosseini,Defender,Iran,6.6499999999999995,0.548387,1,0.571429,27.978261,460,6
Joel Campbell,Midfielder,Costa Rica,6.94,0.52439,0.619048,0.6,37.225131,382,6
Fabian Delph,Midfielder,England,6.675,0.5,0.625,0.75,61.363636,220,6
Filip Kostic,Midfielder,Serbia,6.5,0.534884,0.5,0.571429,30.693642,346,6
Patrick Berg,Midfielder,Norway,6.8999999999999995,0.545455,0.833333,0.7,35.472973,444,6
Aymen Dahmen,Goalkeeper,Tunisia,6.92,,,,23.4,450,6
Kendall Waston,Defender,Costa Rica,6.8,0.666667,,0.571429,30.857143,315,6
Jarell Quansah,Defender,England,6.266666666666667,0.684211,1,,45.45,200,6
Dan Ndoye,Midfielder,Switzerland,6.95,0.534483,0.357143,0.833333,20.514706,408,6
Andreas Schjelderup,Midfielder,Norway,7.05,0.428571,0.363636,0.375,36.573705,251,6
Borna Sosa,Midfielder,Croatia,6.94,0.594595,0.5,0.428571,46.164706,425,6
Saleh Al-Shehri,Forward,Saudi Arabia,6.966666666666666,0.451613,,0.333333,18.318584,226,6
Thomas Müller,Midfielder,Germany,6.95,0.4,,0.857143,36.658537,410,6
Maxim De Cuyper,Defender,Belgium,6.733333333333333,0.5,1,0.285714,43.794643,448,6
Yussuf Poulsen,Forward,Denmark,6.266666666666667,0.447761,0.583333,0.5,26.096654,269,6
Vincent Kompany,Defender,Belgium,6.9799999999999995,0.45,,0.8,68.324607,382,6
Facundo Pellistri,Midfielder,Uruguay,6.5,0.181818,,0.5,21.263736,182,6
Blaise Matuidi,Midfielder,France,6.7,0.438596,,0.714286,30,336,6
Fredrik Aursnes,Midfielder,Norway,6.733333333333333,0.558824,0.5,0.666667,47.612903,310,6
Aleksandar Mitrovic,Forward,Serbia,7.033333333333334,0.467391,0.75,0.666667,22.372881,531,6
Ferjani Sassi,Midfielder,Tunisia,6.7,0.441176,0.6,0.285714,67.590361,249,6
Keylor Navas,Goalkeeper,Costa Rica,6.616666666666667,,,,29.333333,540,6
Ayyoub Bouaddi,Midfielder,Morocco,6.68,0.583333,0.555556,0.333333,61.40625,384,6
Yeltsin Tejeda,Midfielder,Costa Rica,6.55,0.454545,,0.5,33.586957,276,6
Kristoffer Ajer,Defender,Norway,6.840000000000001,0.697674,1,0.8,53.4375,480,6
Niklas Sule,Defender,Germany,6.875,0.68,,0.833333,81.727019,359,6
Almoez Ali,Midfielder,Qatar,6.225,0.217391,,,17.704918,244,6
Darwin Núñez,Forward,Uruguay,6.366666666666667,0.352941,0.25,0.6,18.13602,397,6
Erling Haaland,Forward,Norway,7.9,0.511628,0.25,,10.83871,465,6
Brahim Díaz,Midfielder,Morocco,6.833333333333333,0.478261,0.533333,0.5,31.558442,462,6
Hossein Kanaani,Defender,Iran,6.566666666666666,0.4,,,21.5,180,6
Hassan Al Haydos,Forward,Qatar,6.659999999999999,0.285714,0.428571,0.25,28.472727,275,6
Abdullah Otayf,Midfielder,Saudi Arabia,7.133333333333333,0.692308,0.666667,0.375,97.008197,244,6
Karim Boudiaf,Midfielder,Qatar,6.540000000000001,0.419355,0.333333,0.5,54.878049,287,6
Abdullah Al-Khaibari,Midfielder,Saudi Arabia,6.6000000000000005,0.6,1,0.5,30,180,6
Boualem Khoukhi,Defender,Qatar,6.466666666666666,0.55814,,0.714286,51.833333,540,6
Akram Afif,Midfielder,Qatar,7.066666666666666,0.441176,0.333333,1,42.436149,509,6
Aníbal Godoy,Midfielder,Panama,6.5,0.464286,0.333333,,41.647059,255,6
Julian Ryerson,Midfielder,Norway,6.85,0.411765,0.5,0.727273,50.973451,226,6
Chemsdine Talbi,Midfielder,Morocco,6.7,0.5,0.4,1,26.065574,183,6
Antonio Nusa,Forward,Norway,6.616666666666667,0.355556,0.26087,0.5,23.815385,325,6
Óscar Duarte,Defender,Costa Rica,6.42,0.551724,0.666667,0.5,33.6,450,6
Torbjørn Heggem,Defender,Norway,6.74,0.619048,1,0.875,61.013514,444,6
Yoel Bárcenas,Midfielder,Panama,6.8999999999999995,0.489362,0.5,0.166667,32.605932,472,6
Morteza Pouraliganji,Defender,Iran,6.75,0.488372,,0.6,30.666667,540,6
Ørjan Nyland,Goalkeeper,Norway,7.42,,,,34.6875,480,6
Miloš Veljković,Defender,Serbia,6.375,0.615385,,0.2,45.43131,313,6
Sergej Milinkovic-Savic,Midfielder,Serbia,6.6499999999999995,0.402299,0.583333,0.272727,41.798419,506,6
Issa Diop,Defender,Morocco,6.94,0.6,,1,63.962264,477,6
Agustín Canobbio,Midfielder,Uruguay,6.725,0.416667,0.166667,0.571429,29.489362,235,6
Nasser Al-Dawsari,Midfielder,Saudi Arabia,6.75,0.517241,0.8,0.714286,48.302752,218,6
Naïm Sliti,Midfielder,Tunisia,6.779999999999999,0.555556,0.571429,0.4,28.067797,295,6
Fidel Escobar,Defender,Panama,6.449999999999999,0.517241,,0.5,27.75,360,6
Yassine Meriah,Defender,Tunisia,6.683333333333334,0.5,0.833333,0.571429,59.666667,540,6
Montassar Talbi,Defender,Tunisia,6.7,0.475,,0.8,41.79159,547,6
Johan Venegas,Forward,Costa Rica,6.466666666666666,0.363636,0.25,0.25,22.098214,224,6
Andrija Zivkovic,Midfielder,Serbia,7.1,0.578947,,0.6,31.973684,228,6
David Møller Wolfe,Defender,Norway,6.76,0.483871,0.333333,0.6,35.49884,431,6
Matthew Freese,Goalkeeper,USA,6.5,,,,18.739726,365,5
Ali Ahmed,Midfielder,Canada,6.9,0.53125,0.2,0.285714,25.169492,236,5
Ali Albulayhi,Defender,Saudi Arabia,6.725,0.611111,,0.4,38.697068,307,5
Fagner,Defender,Brazil,6.775,0.368421,1,0.555556,49.22252,373,5
Homam Al-Amin,Defender,Qatar,6.08,0.512821,0.6,1,25.181347,386,5
Roman Zobnin,Midfielder,Russia,6.9,0.528571,0.75,0.571429,32.470588,510,5
Ola Toivonen,Forward,Sweden,6.94,0.455882,0.666667,,22.275,400,5
Alexander Freeman,Defender,USA,7.359999999999999,0.666667,0.615385,0.428571,62.380952,378,5
Emam Ashour,Midfielder,Egypt,6.959999999999999,0.479167,0.3,0.666667,50.163934,366,5
Mostafa Ziko,Midfielder,Egypt,6.859999999999999,0.301887,,0.666667,19.68,375,5
Robin Olsen,Goalkeeper,Sweden,6.9799999999999995,,,,26.4,450,5
Ricardo Pepi,Forward,USA,6.4,0.413793,1,0.5,19.493088,217,5
Damián Bobadilla,Midfielder,Paraguay,6.5,0.533333,,0.428571,15.631579,190,5
Aleksandr Golovin,Midfielder,Russia,7.25,0.433333,0.714286,0.384615,30,402,5
Malik Tillman,Midfielder,USA,7.340000000000001,0.455882,0.375,0.875,36.486486,370,5
Amir Murillo,Defender,Panama,6.5,0.57377,0.583333,0.461538,33.4,450,5
Tani Oluwaseyi,Forward,Canada,6.659999999999999,0.470588,0.5,0.6,16.961538,260,5
Luc De Fougerolles,Defender,Canada,6.7,0.527273,,0.75,51.290323,372,5
Juan Cáceres,Defender,Paraguay,6.9,0.586667,0.444444,0.545455,22.2,450,5
Sebastian Berhalter,Midfielder,USA,7.06,0.555556,1,,62.1,200,5
Aleksandr Samedov,Midfielder,Russia,6.74,0.5,0.625,0.833333,34.5961,359,5
Mário Fernandes,Defender,Russia,7,0.622951,,0.636364,36.228814,472,5
Rayan,Midfielder,Brazil,7.175,0.580645,0.833333,1,30.207612,289,5
Andreas Granqvist,Defender,Sweden,7.660000000000001,0.594595,1,0.25,35.6,450,5
Gustavo Puerta,Midfielder,Colombia,7.12,0.447368,0.4,1,54.765957,470,5
Nahitan Nández,Midfielder,Uruguay,6.68,0.517857,0.75,0.875,37.78157,293,5
Miranda,Defender,Brazil,7.12,0.571429,1,0.545455,50.539957,463,5
Yuriy Gazinskiy,Midfielder,Russia,6.875,0.5,1,0.75,39.586466,266,5
Julián Quiñones,Forward,Mexico,7.7,0.434783,0.666667,,29.565217,414,5
Daler Kuzyaev,Midfielder,Russia,6.4799999999999995,0.425,0.666667,0.6,28.125,304,5
Philippe Coutinho,Midfielder,Brazil,7.640000000000001,0.469388,0.583333,1,66.38009,442,5
Igor Akinfeev,Goalkeeper,Russia,7.0200000000000005,,,,22.058824,510,5
Sergey Ignashevich,Defender,Russia,7.140000000000001,0.684211,,0.625,28.411765,510,5
Fedor Smolov,Forward,Russia,6.44,0.301887,0.6,0.666667,31.643836,219,5
Luis Díaz,Midfielder,Colombia,6.92,0.333333,0.230769,,29.937238,478,5
Emil Forsberg,Midfielder,Sweden,6.88,0.5,0.7,0.6,21.582734,417,5
Raúl Rangel,Goalkeeper,Mexico,7.12,0.666667,,,26.921397,458,5
Julio Enciso,Midfielder,Paraguay,6.959999999999999,0.419355,0.428571,1,16.744186,387,5
Omar Marmoush,Forward,Egypt,6.8,0.538462,0.4375,0.75,20.705521,326,5
Folarin Balogun,Forward,USA,7.025,0.382353,0.428571,,13.911672,317,5
Pedro Neto,Midfielder,Portugal,6.8,0.458333,0.3,0.666667,38.352273,352,5
Gustavo Gómez,Defender,Paraguay,6.779999999999999,0.642857,,0.6,19.063136,491,5
Fedor Kudryashov,Defender,Russia,6.35,0.434783,,0.25,26.137725,334,5
Denis Cheryshev,Midfielder,Russia,7.279999999999999,0.444444,0.75,0.857143,22.5,304,5
Gilberto Mora,Midfielder,Mexico,6.575,0.391304,0.25,0.666667,36,215,5
Marwan Attia,Midfielder,Egypt,7.1,0.4,0.5,0.375,72.404494,445,5
Francisco Calvo,Defender,Costa Rica,6.45,0.538462,0.666667,0.642857,44.210526,285,5
Luke Shaw,Defender,England,7.0200000000000005,0.413793,1,0.333333,72.847059,425,5
Matías Galarza,Midfielder,Paraguay,7.175,0.485714,0.5,0.6875,24.81203,399,5
Éder Militão,Defender,Brazil,6.9,0.5,,0.857143,65.948276,348,5
Daley Blind,Defender,Netherlands,7.38,0.583333,0.5,0.642857,56.25,424,5
Thomas Delaney,Midfielder,Denmark,6.92,0.5,0.4,0.545455,43.907767,412,5
Junior Alonso,Defender,Paraguay,6.425,0.459459,,0.818182,20.648379,401,5
Marcelo,Defender,Brazil,7.35,0.64,0.8,0.8,82.762238,286,5
Assim Madibo,Midfielder,Qatar,6.3,0.434783,,0.571429,32.727273,286,5
Daniel Muñoz,Midfielder,Colombia,7.159999999999999,0.464286,,0.333333,41.954887,399,5
Paulinho,Midfielder,Brazil,6.9799999999999995,0.580645,0.666667,0.857143,38.135593,354,5
Nico Schlotterbeck,Defender,Germany,7.2,0.692308,0.5,0.714286,95.384615,234,5
Nathan-Dylan Saliba,Midfielder,Canada,7.566666666666666,0.555556,0.5,0.666667,50.43956,182,5
Richarlison,Forward,Brazil,7.45,0.375,,1,15.460123,326,5
Orlando Gill,Goalkeeper,Paraguay,7.8,,,,26.578411,491,5
Omar Alderete,Defender,Paraguay,6.625,0.533333,,,29.627329,322,5
Mason Mount,Midfielder,England,6.9,0.5,0.666667,1,33.870968,186,5
Renato Veiga,Defender,Portugal,7.159999999999999,0.5625,,0.25,68.6,450,5
Gabriel Magalhães,Defender,Brazil,7.340000000000001,0.766667,,0.2,86,450,5
João Neves,Midfielder,Portugal,7.140000000000001,0.677419,0.4,0.538462,58.695652,391,5
Davy Klaassen,Midfielder,Netherlands,6.975,0.533333,,0.666667,35.340314,191,5
Douglas Santos,Defender,Brazil,6.9799999999999995,0.724138,,0.555556,49.276018,442,5
Brian Gutiérrez,Midfielder,Mexico,6.925,0.388889,0.333333,0.5,26.018957,211,5
Mohammed Al-Burayk,Defender,Saudi Arabia,6.9,0.609756,1,0.545455,66.964286,336,5
Willian,Midfielder,Brazil,7.1,0.482759,0.916667,1,41.883657,361,5
Jurriën Timber,Defender,Netherlands,6.95,0.521739,0.8,0.5,70.846154,390,5
Phil Foden,Midfielder,England,7.25,0.52381,0.75,1,35.444015,259,5
Gustavo Velázquez,Defender,Paraguay,6.720000000000001,0.529412,0.5,1,27.176471,255,5
Andrés Cubas,Midfielder,Paraguay,6.959999999999999,0.490566,0.5,0.619048,24.562118,491,5
Viktor Claesson,Midfielder,Sweden,7.140000000000001,0.477612,0.666667,0.454545,28.202765,434,5
Marcus Berg,Forward,Sweden,7,0.407407,0.5,0.428571,18.591549,426,5
Nayef Aguerd,Defender,Morocco,7,0.692308,,0.5,40.169492,354,5
Steven Berghuis,Forward,Netherlands,6.65,0.266667,0.25,0.5,52.462312,199,5
Diego Laxalt,Midfielder,Uruguay,6.675,0.647059,0.666667,0.333333,29.302326,301,5
Nathan Ngoy,Defender,Belgium,6.85,0.52381,,0.666667,58.592375,341,5
Rami Rabia,Defender,Egypt,6.94,0.5,,0.714286,60.316623,379,5
Steven Bergwijn,Midfielder,Netherlands,6.5,0.461538,0.333333,1,29.859813,214,5
Jhon Lucumí,Defender,Colombia,7.040000000000001,0.470588,,1,54.676409,479,5
Maxime Crépeau,Goalkeeper,Canada,6.5200000000000005,0.75,,1,20.8,450,5
Yasser Ibrahim,Defender,Egypt,6.88,0.45098,1,0.857143,51.132075,477,5
Israel Reyes,Defender,Mexico,7.025,0.7,,0.5,42.173913,207,5
Mauricio,Midfielder,Paraguay,7.25,0.7,0.666667,0.75,34.42623,183,5
Ilya Kutepov,Defender,Russia,7,0.578947,,0.666667,29.117647,510,5
Andries Noppert,Goalkeeper,Netherlands,7.279999999999999,,,,29.625,480,5
Albin Ekdal,Midfielder,Sweden,6.859999999999999,0.666667,1,0.230769,36.555819,421,5
Chris Richards,Defender,USA,6.9,0.6,,0.6,73.726027,365,5
Yury Zhirkov,Defender,Russia,6.8999999999999995,0.772727,1,0.5,31.357466,221,5
Ismael Koné,Midfielder,Canada,6.68,0.37037,0.666667,1,75.41502,253,5
Ludwig Augustinsson,Defender,Sweden,6.959999999999999,0.457143,0.333333,0.571429,23,450,5
Erik Lira,Defender,Mexico,7.025,0.5,0.666667,0.333333,48.934426,366,5
Matheus Cunha,Forward,Brazil,7.4,0.538462,0.4,0.5,27.337884,293,5
Mohamed Hany,Defender,Egypt,6.44,0.560976,0.428571,0.642857,44.175153,491,5
Moise Bombito,Defender,Canada,6.533333333333334,0.375,,,55.206186,194,5
Artem Dzyuba,Forward,Russia,7.220000000000001,0.441667,0.375,,28.648649,333,5
Mostafa Shobeir,Goalkeeper,Egypt,7.4799999999999995,,,,24.195519,491,5
Luis Javier Suárez,Forward,Colombia,6.5,0.414634,0.25,1,14.909639,332,5
