ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Viktor Gyökeres,Forward,Sweden,367,1,1.137,2,0.254,4
Maxim De Cuyper,Defender,Belgium,448,0,1.131,0,0.672,6
Randal Kolo Muani,Forward,France,180,1,1.121,0,0.037,7
Casemiro,Midfielder,Brazil,1106,2,1.113,0,0.7849999999999999,14
Amad Diallo,Midfielder,Côte d'Ivoire,184,2,1.1019999999999999,0,0.588,4
Son Heung-min,Forward,South Korea,801,2,1.1,1,0.8119999999999999,10
Alistair Johnston,Defender,Canada,720,0,1.092,0,1.988,8
Serge Gnabry,Midfielder,Germany,264,1,1.088,1,0.6609999999999999,3
Emam Ashour,Midfielder,Egypt,366,2,1.086,0,0.203,5
Phil Foden,Midfielder,England,259,1,1.0759999999999998,2,0.446,5
Alphonso Davies,Defender,Canada,285,1,1.0710000000000002,0,0.292,8
Abbosbek Fayzullaev,Midfielder,Uzbekistan,223,1,1.051,0,0.022,3
Arda Güler,Midfielder,Türkiye,277,1,1.038,0,0.707,3
Ao Tanaka,Midfielder,Japan,365,1,1.035,0,0.434,8
Kieffer Moore,Forward,Wales,225,0,1.028,0,0.089,3
Nico O'Reilly,Defender,England,462,0,1.026,0,0.185,8
Andreas Cornelius,Forward,Denmark,253,0,1.022,0,0.034999999999999996,7
Fabian Rieder,Midfielder,Switzerland,379,0,1.02,0,0.181,10
Abdulelah Al-Amri,Defender,Saudi Arabia,436,1,1.019,0,0.423,6
Nicolás Tagliafico,Defender,Argentina,1198,0,1.008,0,0.9550000000000001,19
Mousa Tamari,Forward,Jordan,217,1,1.002,1,0.14600000000000002,3
Caleb Yirenkyi,Midfielder,Ghana,272,1,0.999,0,0.057999999999999996,4
Scott McTominay,Midfielder,Scotland,270,0,0.989,0,0.047,3
Frenkie de Jong,Midfielder,Netherlands,807,1,0.985,1,0.9119999999999999,9
Rodrigo De Paul,Midfielder,Argentina,1097,0,0.977,1,1.674,15
Weston McKennie,Midfielder,USA,724,0,0.967,0,1.1139999999999999,9
Jhon Arias,Midfielder,Colombia,381,1,0.96,0,0.596,5
Sardar Azmoun,Forward,Iran,396,0,0.958,0,0.198,6
Dan Ndoye,Midfielder,Switzerland,408,2,0.9550000000000001,0,0.22699999999999998,6
Jean-Charles Castelletto,Defender,Cameroon,180,1,0.947,1,0.245,2
Fabián Ruiz,Midfielder,Spain,331,1,0.9410000000000001,0,0.328,8
Hwang Hee-chan,Forward,South Korea,437,1,0.9339999999999999,0,0.08600000000000001,10
Ramin Rezaeian,Defender,Iran,720,3,0.929,1,0.985,9
Mohamed Salah,Midfielder,Egypt,608,3,0.907,2,0.808,8
Malik Tillman,Midfielder,USA,370,2,0.906,1,0.702,5
Rodrigo Bentancur,Midfielder,Uruguay,849,0,0.864,1,0.251,11
Teboho Mokoena,Midfielder,South Africa,270,1,0.8480000000000001,0,0.268,3
Tani Oluwaseyi,Forward,Canada,260,0,0.838,0,0.078,5
Junya Ito,Midfielder,Japan,538,1,0.833,1,0.303,8
Rayan,Midfielder,Brazil,289,0,0.831,1,0.302,5
Mohammed Kudus,Midfielder,Ghana,249,2,0.831,0,0.08,3
Alexis Vega,Midfielder,Mexico,206,0,0.8300000000000001,0,0.07500000000000001,8
Eric Maxim Choupo-Moting,Forward,Cameroon,254,1,0.828,0,0.083,3
Marko Livaja,Forward,Croatia,242,1,0.821,1,0.079,7
Gareth Bale,Forward,Wales,225,1,0.803,0,0.217,3
Romain Saiss,Defender,Morocco,648,1,0.795,0,0.034999999999999996,10
Dries Mertens,Midfielder,Belgium,373,1,0.7949999999999999,1,0.075,10
Jackson Irvine,Midfielder,Australia,628,0,0.785,0,0.189,11
Nicolás González,Midfielder,Argentina,253,0,0.777,1,1.019,8
Antonio Rüdiger,Defender,Germany,622,0,0.773,0,0.18,10
