ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Joel Ordóñez,Defender,Ecuador,225,0,0.205,0,0.03,4
Jérémy Doku,Midfielder,Belgium,334,0,0.20400000000000001,0,0.858,8
Patrik Schick,Forward,Czechia,180,0,0.2,0,0.01,3
Stefan Posch,Defender,Austria,333,0,0.19899999999999998,0,0.198,4
Sarpreet Singh,Midfielder,New Zealand,210,0,0.19599999999999998,0,0.061,3
Krépin Diatta,Midfielder,Senegal,572,0,0.195,0,0.7210000000000001,8
Ryan Gravenberch,Midfielder,Netherlands,347,0,0.195,2,0.29000000000000004,4
Ibrahim Bayesh,Midfielder,Iraq,237,0,0.192,0,0.061,3
Haris Seferović,Forward,Switzerland,210,0,0.19,0,0.006,8
Hirving Lozano,Forward,Mexico,577,1,0.19,1,0.854,7
Diney Borges,Defender,Cabo Verde,390,0,0.187,0,0.018,4
Steve Kapuadi,Defender,DR Congo,180,0,0.187,0,0.008,4
Alessandro Circati,Defender,Australia,397,0,0.187,0,0.079,4
Andreas Schjelderup,Midfielder,Norway,251,1,0.186,3,0.738,6
Tarik Muharemović,Defender,Bosnia & Herzegovina,260,0,0.186,0,0.017,3
Éder Militão,Defender,Brazil,348,0,0.184,0,0.10500000000000001,5
Gavi,Midfielder,Spain,369,1,0.184,0,0.258,12
Ehsan Hajsafi,Defender,Iran,545,0,0.184,0,0.285,9
Nicolas Seiwald,Midfielder,Austria,315,0,0.181,0,0.094,4
Wataru Endo,Midfielder,Japan,311,0,0.18,0,0.375,8
Héctor Moreno,Defender,Mexico,540,0,0.18,0,0.024,6
Christian Eriksen,Midfielder,Denmark,660,1,0.17900000000000002,1,0.384,7
Nikola Milenković,Defender,Serbia,540,0,0.179,0,0.024999999999999998,6
Issa Diop,Defender,Morocco,477,1,0.178,0,0.026000000000000002,6
Giuliano Simeone,Midfielder,Argentina,193,0,0.177,0,0.071,8
Sergej Milinkovic-Savic,Midfielder,Serbia,506,1,0.172,0,0.228,6
Krystian Bielik,Defender,Poland,216,0,0.17099999999999999,0,0.053000000000000005,4
Facundo Pellistri,Midfielder,Uruguay,182,0,0.17,0,0.166,6
Strahinja Pavlović,Defender,Serbia,236,1,0.16999999999999998,0,0.055,3
Keito Nakamura,Midfielder,Japan,310,1,0.16899999999999998,1,0.409,4
Mohanad Lasheen,Midfielder,Egypt,370,0,0.168,0,0.08399999999999999,4
Aziz Behich,Defender,Australia,853,0,0.167,0,0.05,11
Jan Vertonghen,Defender,Belgium,816,1,0.16699999999999998,0,0.023,10
Junior Alonso,Defender,Paraguay,401,0,0.16699999999999998,0,0.017,5
Josip Šutalo,Defender,Croatia,450,0,0.166,0,0.091,11
Nayef Aguerd,Defender,Morocco,354,0,0.166,0,0.008,5
José María Giménez,Defender,Uruguay,630,1,0.16599999999999998,0,0.34700000000000003,10
Vitinha,Midfielder,Portugal,499,0,0.164,0,0.46,10
Hossein Kanaani,Defender,Iran,180,0,0.163,0,0.01,6
Jordan Henderson,Midfielder,England,766,1,0.163,0,1.423,20
Ben Gannon-Doak,Midfielder,Scotland,187,0,0.16299999999999998,0,0.089,3
Thiago Silva,Defender,Brazil,853,1,0.159,1,0.645,10
Hidemasa Morita,Midfielder,Japan,285,0,0.158,0,0.08600000000000001,4
Youssouf Fofana,Midfielder,France,225,0,0.158,0,0.11499999999999999,7
Jhon Lucumí,Defender,Colombia,479,0,0.158,0,0.048,5
Kim Min-jae,Defender,South Korea,529,0,0.156,0,0.101,7
Aubrey Modiba,Defender,South Africa,347,0,0.15500000000000003,0,0.254,4
José Luis Rodríguez,Midfielder,Panama,478,0,0.155,0,0.04,6
Noussair Mazraoui,Defender,Morocco,853,0,0.154,0,0.166,11
João Cancelo,Defender,Portugal,623,0,0.153,1,0.59,10
Gilberto Mora,Midfielder,Mexico,215,0,0.152,0,0.299,5
Gustaf Lagerbielke,Defender,Sweden,367,0,0.15100000000000002,0,0.061,4
Kendall Waston,Defender,Costa Rica,315,1,0.151,0,0.001,6
Wilson Isidor,Forward,Haiti,188,1,0.15000000000000002,0,0.073,3
Pedro Vite,Midfielder,Ecuador,360,0,0.15,1,0.841,4
Eberechi Eze,Midfielder,England,209,0,0.15,1,1.2,8
Douglas Santos,Defender,Brazil,442,0,0.15,0,0.509,5
Ko Itakura,Defender,Japan,399,0,0.15,2,0.079,7
Anis Ben Slimane,Midfielder,Tunisia,392,0,0.15,0,0.197,6
Sebastián Cáceres,Defender,Uruguay,270,0,0.148,0,0.255,3
Shoja Khalilzadeh,Defender,Iran,270,0,0.148,0,0.013000000000000001,6
Morgan Rogers,Midfielder,England,349,0,0.148,1,0.854,8
Rafik Belghali,Midfielder,Algeria,333,1,0.14600000000000002,0,0.421,4
Riley McGree,Midfielder,Australia,269,0,0.14400000000000002,1,0.276,4
Sergio Busquets,Midfielder,Spain,754,0,0.144,1,0.22999999999999998,8
Naïm Sliti,Midfielder,Tunisia,295,0,0.144,0,0.104,6
Ricardo Adé,Defender,Haiti,270,0,0.143,0,0.08399999999999999,3
Timothy Castagne,Defender,Belgium,753,0,0.14200000000000002,1,0.902,9
Mathías Olivera,Defender,Uruguay,525,0,0.14200000000000002,0,0.876,6
Nathan-Dylan Saliba,Midfielder,Canada,182,1,0.142,2,0.42800000000000005,5
Fabian Schar,Defender,Switzerland,405,0,0.142,0,0.013999999999999999,7
Takehiro Tomiyasu,Defender,Japan,370,0,0.14,0,0.093,8
Akram Afif,Midfielder,Qatar,509,0,0.139,0,0.625,6
Paul Wanner,Midfielder,Austria,234,0,0.137,0,0.092,4
Ruben Providence,Midfielder,Haiti,223,0,0.134,0,0.211,3
Petar Sučić,Midfielder,Croatia,288,1,0.134,1,0.46900000000000003,4
Lamine Camara,Midfielder,Senegal,250,0,0.133,1,0.894,4
Kevin Danso,Defender,Austria,239,0,0.133,0,0.165,4
Aissa Laïdouni,Midfielder,Tunisia,245,0,0.131,1,0.20800000000000002,3
Guéla Doué,Defender,Côte d'Ivoire,277,0,0.129,0,0.349,4
Rami Rabia,Defender,Egypt,379,0,0.128,0,0.072,5
Sebastian Berhalter,Midfielder,USA,200,1,0.128,1,0.387,5
Han-Beom Lee,Defender,South Korea,284,0,0.127,0,0.08499999999999999,3
Michael Gregoritsch,Forward,Austria,190,0,0.125,1,0.23700000000000002,4
Jonas Adjei Adjetey,Defender,Ghana,225,0,0.125,0,0.016,4
Juan Fernando Quintero,Midfielder,Colombia,427,1,0.12400000000000001,3,1.115,9
Ermedin Demirović,Forward,Bosnia & Herzegovina,356,0,0.123,0,0.033,4
Lucas Bergvall,Midfielder,Sweden,185,0,0.123,1,0.072,4
Kevin Pina,Midfielder,Cabo Verde,351,1,0.123,0,0.051000000000000004,4
Luis Romo,Defender,Mexico,268,1,0.122,1,0.225,8
Patrick Berg,Midfielder,Norway,444,0,0.121,2,1.21,6
Milad Mohammadi,Defender,Iran,457,0,0.121,0,0.106,9
Nathan Aké,Defender,Netherlands,649,0,0.119,0,0.14,9
Rúben Neves,Midfielder,Portugal,325,0,0.118,0,0.121,10
Marko Stamenić,Midfielder,New Zealand,280,0,0.118,0,0.455,3
Bruno Petkovic,Forward,Croatia,230,1,0.117,0,0.16699999999999998,7
Martin Baturina,Midfielder,Croatia,324,1,0.11699999999999999,0,0.303,4
Félix Torres,Defender,Ecuador,283,0,0.116,1,0.014,7
Willian Pacho,Defender,Ecuador,360,0,0.116,0,0.044,7
Firas Al-Buraikan,Forward,Saudi Arabia,508,0,0.11499999999999999,1,0.209,6
Marc Guéhi,Defender,England,682,0,0.112,0,0.746,8
Otavio,Midfielder,Portugal,199,0,0.112,0,0.534,3
Crysencio Summerville,Midfielder,Netherlands,253,2,0.111,2,0.42,4
Juan Sanabria,Defender,Uruguay,205,0,0.111,0,0.24000000000000002,3
Samuel Moutoussamy,Midfielder,DR Congo,333,0,0.11000000000000001,0,0.175,4
Niklas Sule,Defender,Germany,359,0,0.109,0,0.099,6
Emmanuel Agbadou,Defender,Côte d'Ivoire,270,0,0.108,0,0.024,4
Oswin Appollis,Midfielder,South Africa,255,0,0.107,0,0.189,4
Tahith Chong,Midfielder,Curaçao,249,0,0.107,0,0.066,3
Abdülkerim Bardakcı,Defender,Türkiye,273,0,0.106,0,0.167,3
Deroy Duarte,Midfielder,Cabo Verde,264,1,0.106,0,0.038,4
Nicolas Raskin,Midfielder,Belgium,346,0,0.105,2,1.413,6
Danilo,Defender,Brazil,777,0,0.104,0,0.877,10
Matias Vecino,Midfielder,Uruguay,612,0,0.104,0,0.031,8
Jawad El Yamiq,Defender,Morocco,308,0,0.10300000000000001,0,0.01,7
Ahmad Nourollahi,Midfielder,Iran,226,0,0.103,0,0.014,3
Yasser Ibrahim,Defender,Egypt,477,1,0.103,0,0.101,5
Sidny Lopes Cabral,Defender,Cabo Verde,286,1,0.102,0,0.09999999999999999,3
Harry Souttar,Defender,Australia,757,0,0.1,0,0.115,8
Sebastián Coates,Defender,Uruguay,270,0,0.099,0,0.032,8
Joachim Andersen,Defender,Denmark,270,0,0.099,1,0.056999999999999995,3
Mohamed Hany,Defender,Egypt,491,0,0.098,1,0.604,5
Luke Shaw,Defender,England,425,0,0.098,1,0.9329999999999999,5
Sherel Constancio Floranus,Defender,Curaçao,270,0,0.097,0,0.026,3
Philipp Lienhart,Defender,Austria,180,0,0.096,0,0.015,4
Marwan Attia,Midfielder,Egypt,445,0,0.096,1,1.293,5
Ismail Jakobs,Defender,Senegal,498,0,0.095,1,0.797,8
Marvin Senaya,Defender,Ghana,280,0,0.094,0,0.019,4
Young-woo Seol,Defender,South Korea,258,0,0.094,0,0.5,3
Chancel Mbemba,Defender,DR Congo,360,0,0.093,1,0.035,4
Matías Galarza,Midfielder,Paraguay,399,1,0.091,1,0.194,5
Amar Memić,Midfielder,Bosnia & Herzegovina,224,0,0.09,0,0.013999999999999999,4
Cristian Martínez,Midfielder,Panama,243,0,0.09,0,0.16999999999999998,3
Neco Williams,Defender,Wales,205,0,0.089,0,0.035,3
Marin Pongračić,Defender,Croatia,270,0,0.087,0,0.019,4
Aiden O'Neill,Midfielder,Australia,367,0,0.08600000000000001,0,0.361,4
Saleh Al-Shehri,Forward,Saudi Arabia,226,1,0.086,0,0.038,6
Montassar Talbi,Defender,Tunisia,547,0,0.086,0,0.06,6
Gustavo Gómez,Defender,Paraguay,491,0,0.086,0,0.02,5
Leandro Paredes,Midfielder,Argentina,697,0,0.086,0,0.669,15
Gonzalo Montiel,Defender,Argentina,307,0,0.085,1,0.701,14
Leander Dendoncker,Midfielder,Belgium,252,0,0.085,0,0.335,10
Marcos Acuña,Defender,Argentina,464,0,0.085,0,0.391,10
Miguel Almirón,Midfielder,Paraguay,288,0,0.08499999999999999,0,0.04,4
Yoel Bárcenas,Midfielder,Panama,472,0,0.082,0,0.313,6
Nikola Katić,Defender,Bosnia & Herzegovina,318,0,0.081,0,0.031,4
Akmal Mozgovoy,Midfielder,Uzbekistan,217,0,0.08,1,0.051,3
Esmir Bajraktarević,Forward,Bosnia & Herzegovina,229,0,0.07999999999999999,0,0.045,4
Morteza Pouraliganji,Defender,Iran,540,0,0.079,0,0.185,6
Issa Laye,Defender,Qatar,270,0,0.079,0,0.007,3
Dušan Tadić,Forward,Serbia,521,0,0.078,3,1.069,6
Ali Nemati,Defender,Iran,270,0,0.077,0,0.036,3
Moussa Niakhaté,Defender,Senegal,390,0,0.076,1,0.299,4
Thalente Mbatha,Midfielder,South Africa,259,0,0.076,0,0.048999999999999995,4
Sherzod Nasrullaev,Defender,Uzbekistan,180,0,0.076,0,0.045,3
Diogo Dalot,Defender,Portugal,323,0,0.07500000000000001,1,0.477,10
Kamaldeen Sulemana,Forward,Ghana,186,0,0.074,0,0.173,7
Ismael Koné,Midfielder,Canada,253,0,0.07300000000000001,0,0.407,5
Walker Zimmerman,Defender,USA,278,0,0.072,0,0.019,4
Yassine Meriah,Defender,Tunisia,540,0,0.072,0,0.026,6
Dylan Bronn,Defender,Tunisia,322,1,0.072,0,0.03,8
Martin Braithwaite,Forward,Denmark,353,0,0.069,0,0.062,7
Ellyes Skhiri,Midfielder,Tunisia,791,0,0.069,0,0.08,9
Israel Reyes,Defender,Mexico,207,0,0.069,0,0.039,5
Ángelo Preciado,Midfielder,Ecuador,377,0,0.069,1,0.262,7
Saud Abdulhamid,Midfielder,Saudi Arabia,539,0,0.06899999999999999,0,0.155,6
Karim Ansarifard,Forward,Iran,213,1,0.068,0,0.044,6
Pervis Estupiñán,Midfielder,Ecuador,359,0,0.068,0,0.449,7
Nicolás Otamendi,Defender,Argentina,1293,0,0.068,1,0.272,19
Ayyoub Bouaddi,Midfielder,Morocco,384,0,0.067,0,0.053,6
Gabriel Magalhães,Defender,Brazil,450,0,0.067,1,0.489,5
Jürgen Locadia,Forward,Curaçao,237,0,0.067,0,0.049,3
William Carvalho,Midfielder,Portugal,574,0,0.067,0,0.043,9
Fredrik Aursnes,Midfielder,Norway,310,0,0.067,0,0.165,6
Borna Sosa,Midfielder,Croatia,425,0,0.066,0,0.497,6
Ahmed Fatouh,Defender,Egypt,279,0,0.064,0,0.32399999999999995,3
Sasa Lukic,Midfielder,Serbia,246,0,0.064,0,0.096,3
Hannibal Mejbri,Midfielder,Tunisia,287,0,0.063,2,0.29300000000000004,6
Mbekezeli Mbokazi,Defender,South Africa,360,0,0.062,0,0.08299999999999999,4
Micky van de Ven,Defender,Netherlands,266,0,0.061,0,0.039,4
Boualem Khoukhi,Defender,Qatar,540,0,0.061,0,0.326,6
Andrija Zivkovic,Midfielder,Serbia,228,0,0.06,2,0.8200000000000001,6
Nampalys Mendy,Midfielder,Senegal,273,0,0.06,0,0.059,4
Diego Godín,Defender,Uruguay,602,0,0.059,0,0.012,8
Manuel Ugarte,Midfielder,Uruguay,186,0,0.057,0,0.158,6
Juan Cáceres,Defender,Paraguay,450,0,0.056999999999999995,0,0.019000000000000003,5
Rayan Aït-Nouri,Defender,Algeria,291,0,0.056,0,0.131,4
Frank Anguissa,Midfielder,Cameroon,261,0,0.055,0,0.086,3
Ramy Bensebaini,Defender,Algeria,367,0,0.055,0,0.105,4
Chemsdine Talbi,Midfielder,Morocco,183,0,0.054,1,0.14300000000000002,6
Nathan Ngoy,Defender,Belgium,341,0,0.053,0,0.089,5
Eden Hazard,Forward,Belgium,654,3,0.053,2,0.054,10
Jordan Ayew,Forward,Ghana,440,0,0.052,1,0.644,7
William Saliba,Defender,France,518,0,0.051,0,0.1,15
Otabek Shukurov,Midfielder,Uzbekistan,238,0,0.05,0,0.08399999999999999,3
Ange-Yoan Bonny,Forward,Côte d'Ivoire,236,0,0.049,0,0.535,4
Lewis Ferguson,Midfielder,Scotland,270,0,0.049,0,0.132,3
Kieran Trippier,Defender,England,781,1,0.048,1,0.2,12
Aaron Mooy,Midfielder,Australia,630,0,0.048,0,0.119,7
Marcus Pedersen,Midfielder,Norway,236,1,0.047,0,0.247,6
Romano Schmid,Midfielder,Austria,266,1,0.047,0,0.362,4
Noor Al-Rawabdeh,Midfielder,Jordan,270,0,0.046,1,0.038,3
Youssouf Sabaly,Defender,Senegal,614,0,0.044,0,0.7210000000000001,7
Jorge Sánchez,Defender,Mexico,532,0,0.043,1,0.138,8
Seung Ho Paik,Midfielder,South Korea,231,1,0.043,0,0.097,7
Nilson Angulo,Midfielder,Ecuador,218,1,0.042,0,0.159,4
Aaron Ramsey,Midfielder,Wales,267,0,0.041,0,0.064,3
Mohannad Abu Taha,Midfielder,Jordan,265,0,0.04,0,0.175,3
Reece James,Defender,England,327,0,0.04,0,0.371,7
David Alaba,Defender,Austria,278,0,0.039999999999999994,1,0.42300000000000004,4
Ethan Ampadu,Midfielder,Wales,256,0,0.039,0,0.062,3
Joakim Mæhle,Defender,Denmark,250,0,0.039,0,0.10999999999999999,3
Steven Moreira,Defender,Cabo Verde,301,0,0.039,0,0.122,4
Lucas Digne,Defender,France,476,0,0.037000000000000005,0,0.253,8
Matty Cash,Defender,Poland,360,0,0.037,0,0.47,4
Jordi Alba,Defender,Spain,656,0,0.036000000000000004,2,0.663,8
Guillermo Varela,Defender,Uruguay,640,0,0.036,0,0.183,11
Kaishu Sano,Midfielder,Japan,270,1,0.036,1,0.333,4
Rúben Dias,Defender,Portugal,720,0,0.035,0,0.10200000000000001,14
Ali Abdi,Defender,Tunisia,476,0,0.035,0,0.074,6
Przemyslaw Frankowski,Midfielder,Poland,240,0,0.034,0,0.148,4
Johan Vásquez,Defender,Mexico,380,0,0.034,0,0.04699999999999999,8
Josip Juranović,Midfielder,Croatia,600,0,0.033,1,0.311,7
Jakub Kiwior,Defender,Poland,356,0,0.033,0,0.031,4
Omar Rekik,Defender,Tunisia,187,1,0.032,0,0.028999999999999998,3
Ali Gholizadeh,Midfielder,Iran,199,0,0.032,1,0.675,3
Merchas Doski,Defender,Iraq,270,0,0.031,0,0.352,3
Akam Hashem,Defender,Iraq,270,0,0.031,0,0.005,3
Sofyan Amrabat,Midfielder,Morocco,819,0,0.03,0,0.126,16
Woo-Young Jung,Midfielder,South Korea,431,0,0.03,0,0.10600000000000001,7
Nasser Al-Dawsari,Midfielder,Saudi Arabia,218,0,0.029,0,0.10600000000000001,6
David Raum,Defender,Germany,351,0,0.029,1,0.629,7
Chadi Riad,Defender,Morocco,345,0,0.028,1,0.018000000000000002,6
Alexander Bernhardsson,Midfielder,Sweden,221,0,0.028,0,0.058,4
Alex Sandro,Defender,Brazil,199,0,0.028,0,0.223,8
Pierre Emile Hojbjerg,Midfielder,Denmark,270,0,0.027999999999999997,0,0.122,3
Chris Richards,Defender,USA,365,0,0.027,0,0.041999999999999996,5
Tim Payne,Defender,New Zealand,227,0,0.027,1,0.117,3
Ivan Šunjić,Midfielder,Bosnia & Herzegovina,198,0,0.027,0,0.033,4
Pavel Šulc,Forward,Czechia,189,0,0.027,0,0.341,3
Vladimír Coufal,Defender,Czechia,277,0,0.027,1,0.33,3
Abdou Diallo,Defender,Senegal,332,0,0.027,0,0.049,4
Ibrahim Sangaré,Midfielder,Côte d'Ivoire,268,0,0.026,1,0.127,4
Amar Dedić,Defender,Bosnia & Herzegovina,270,0,0.026,0,0.023,4
Abdullah Al-Khaibari,Midfielder,Saudi Arabia,180,0,0.025,0,0.008,6
Andrés Cubas,Midfielder,Paraguay,491,0,0.025,0,0.04,5
Hiroki Itō,Defender,Japan,405,0,0.025,0,0.157,8
Axel Witsel,Midfielder,Belgium,851,0,0.025,0,0.05,16
Tyler Adams,Midfielder,USA,702,0,0.024,0,0.75,9
Collins Fai,Defender,Cameroon,270,0,0.024,0,0.191,3
Liberato Cacace,Midfielder,New Zealand,223,0,0.023,0,0.13,3
Salis Abdul Samed,Midfielder,Ghana,251,0,0.023,0,0.052000000000000005,3
Silvan Widmer,Midfielder,Switzerland,445,0,0.023,1,0.886,9
Abdelaziz Hatem,Midfielder,Qatar,241,0,0.023,0,0.044,6
Nabil Bentaleb,Midfielder,Algeria,287,0,0.022,0,0.206,4
Anass Salah-Eddine,Defender,Morocco,212,0,0.022,0,0.132,6
Josip Stanišić,Defender,Croatia,450,0,0.022,1,0.44,10
Martin Expérience,Defender,Haiti,270,0,0.021,0,0.073,3
Filip Kostic,Midfielder,Serbia,346,0,0.021,0,0.15599999999999997,6
Ferjani Sassi,Midfielder,Tunisia,249,1,0.02,0,0.019,6
Karim Boudiaf,Midfielder,Qatar,287,0,0.02,0,0.056,6
Grzegorz Krychowiak,Midfielder,Poland,604,1,0.019,0,0.061000000000000006,7
Ngal'ayel Mukau,Midfielder,DR Congo,196,0,0.019,0,0.09000000000000001,4
Joe Bell,Midfielder,New Zealand,255,0,0.019,0,0.08199999999999999,3
Jonathan Tah,Defender,Germany,373,0,0.018,0,0.39,4
Stjepan Radeljić,Defender,Bosnia & Herzegovina,180,0,0.018,0,0.3,4
Marcos Llorente,Defender,Spain,313,0,0.018,1,0.6090000000000001,12
Ehsan Haddad,Midfielder,Jordan,261,0,0.017,1,0.269,3
Ricardo Rodríguez,Defender,Switzerland,1245,0,0.016,1,1.555,14
Benjamin Tahirović,Midfielder,Bosnia & Herzegovina,237,0,0.016,0,0.043,4
Ime Okon,Defender,South Africa,360,0,0.014,0,0.015,4
Francisco Calvo,Defender,Costa Rica,285,0,0.011,0,0.007,5
Konrad Laimer,Defender,Austria,360,0,0.011,1,0.176,4
Joel Campbell,Midfielder,Costa Rica,382,0,0.011,1,0.091,6
Alidu Seidu,Defender,Ghana,233,0,0.011,0,0.028,7
Josué Casimir,Midfielder,Haiti,181,0,0.011,0,0.067,3
Pedro Neto,Midfielder,Portugal,352,0,0.01,1,0.552,5
Éric Davis,Defender,Panama,189,0,0.01,0,0.02,6
Xaver Schlager,Midfielder,Austria,239,0,0.009,1,0.057,4
Omar Alderete,Defender,Paraguay,322,0,0.006,0,0.036000000000000004,5
Homam Al-Amin,Defender,Qatar,386,0,0.004,0,0.075,5
Emil Hallfreðsson,Midfielder,Iceland,180,0,0,0,0,3
Jesse Lingard,Forward,England,527,1,0,1,0,7
Mohammed Al-Owais,Goalkeeper,Saudi Arabia,630,0,0,0,0.004,9
Branislav Ivanović,Defender,Serbia,180,0,0,0,0,3
Abdallah El-Said,Midfielder,Egypt,225,0,0,1,0,3
Yussuf Poulsen,Forward,Denmark,269,1,0,0,0,6
Aron Gunnarsson,Midfielder,Iceland,253,0,0,0,0,3
Odilon Kossounou,Defender,Côte d'Ivoire,280,0,0,0,0.013000000000000001,4
Rahman Baba,Defender,Ghana,194,0,0,0,0.08099999999999999,7
Vahid Amiri,Defender,Iran,266,0,0,0,0,6
Hugo Ayala,Defender,Mexico,187,0,0,0,0,4
Hugo Lloris,Goalkeeper,France,1110,0,0,0,0.017,14
Lionel Mpasi Nzau,Goalkeeper,DR Congo,360,0,0,0,0.003,4
Amine Ben Hmida,Defender,Tunisia,210,0,0,0,0.031,3
Gideon Mensah,Defender,Ghana,448,0,0,0,0.186,7
Gregor Kobel,Goalkeeper,Switzerland,697,0,0,0,0.004,10
Alexander Schlager,Goalkeeper,Austria,360,0,0,0,0.001,4
Fernando Muslera,Goalkeeper,Uruguay,675,0,0,0,0.001,11
Deveron Fonville,Defender,Curaçao,243,0,0,0,0.044,3
Isak Hien,Defender,Sweden,224,0,0,0,0.08800000000000001,3
Raúl Rangel,Goalkeeper,Mexico,458,0,0,0,0.008,5
Munir El Kajoui,Goalkeeper,Morocco,360,0,0,0,0.001,16
Samuel Umtiti,Defender,France,540,1,0,0,0,7
Eric Dier,Defender,England,287,0,0,0,0.004,12
Victor Moses,Midfielder,Nigeria,270,1,0,1,0,3
Jacob Widell Zetterström,Goalkeeper,Sweden,180,0,0,0,0.011000000000000001,4
Yong Lee,Defender,South Korea,270,0,0,0,0,3
Willy Caballero,Goalkeeper,Argentina,180,0,0,0,0,4
Dominik Livaković,Goalkeeper,Croatia,1050,0,0,0,0.009000000000000001,18
Jerome Opoku,Defender,Ghana,270,0,0,0,0.048,4
Sergio Rochet,Goalkeeper,Uruguay,315,0,0,0,0.022,6
Andrés Guardado,Midfielder,Mexico,356,0,0,0,0.005,7
Zanka,Defender,Denmark,219,1,0,0,0,4
Robin Olsen,Goalkeeper,Sweden,450,0,0,0,0,5
Ivan Strinić,Defender,Croatia,511,0,0,0,0,7
Camilo Vargas,Goalkeeper,Colombia,480,0,0,0,0.009000000000000001,9
Jarell Quansah,Defender,England,200,0,0,0,0.018000000000000002,6
David De Gea,Goalkeeper,Spain,390,0,0,0,0,4
Yuriy Gazinskiy,Midfielder,Russia,266,1,0,0,0,5
Bryan Ruiz,Midfielder,Costa Rica,299,0,0,0,0,6
Kwasi Sibo,Midfielder,Ghana,249,0,0,0,0.034,4
Vozinha,Goalkeeper,Cabo Verde,390,0,0,0,0.004,4
Julian Ryerson,Midfielder,Norway,226,0,0,0,1.001,6
Sander Berge,Midfielder,Norway,480,0,0,0,0.14400000000000002,6
Kim Seung-gyu,Goalkeeper,South Korea,644,0,0,0,0.008,10
Santiago Arias,Defender,Colombia,473,0,0,0,0.424,9
Meshaal Barsham,Goalkeeper,Qatar,180,0,0,0,0,6
Sergey Ignashevich,Defender,Russia,510,0,0,0,0,5
Benjamin Asare,Goalkeeper,Ghana,225,0,0,0,0.008,4
Mahmud Abunada,Goalkeeper,Qatar,270,0,0,0,0,3
Thomas Delaney,Midfielder,Denmark,412,0,0,1,0.005,5
Ilya Kutepov,Defender,Russia,510,0,0,1,0,5
Benjamin Pavard,Defender,France,629,1,0,0,0.019,14
Aleksandr Samedov,Midfielder,Russia,359,0,0,0,0,5
Marcus Berg,Forward,Sweden,426,0,0,0,0,5
Mark Milligan,Defender,Australia,270,0,0,0,0,3
Yassine Bounou,Goalkeeper,Morocco,1140,0,0,0,0.005,15
Zidane Iqbal,Midfielder,Iraq,188,0,0,0,0.043,3
Ahmed Fathi,Defender,Egypt,270,0,0,0,0,3
Maxence Lacroix,Defender,France,240,0,0,0,0.022,8
Denis Cheryshev,Midfielder,Russia,304,4,0,0,0,5
Josip Pivarić,Defender,Croatia,200,0,0,0,0,7
Fedor Kudryashov,Defender,Russia,334,0,0,0,0,5
Edouard Mendy,Goalkeeper,Senegal,513,0,0,0,0.01,6
Devis Epassy,Goalkeeper,Cameroon,180,0,0,0,0.006,3
Timo Werner,Forward,Germany,266,0,0,0,0,3
Aníbal Godoy,Midfielder,Panama,255,0,0,0,0.004,6
Orlando Mosquera,Goalkeeper,Panama,270,0,0,0,0.209,3
José Córdoba,Defender,Panama,270,0,0,0,0.16,3
Nouhou Tolo,Defender,Cameroon,270,0,0,0,0.038,3
Thibaut Courtois,Goalkeeper,Belgium,1462,0,0,0,0.02,16
Nemanja Matić,Midfielder,Serbia,270,0,0,0,0,3
Yazan Al-Arab,Defender,Jordan,270,0,0,0,0.006,3
Matthew Freese,Goalkeeper,USA,365,0,0,0,0,5
Bart Verbruggen,Goalkeeper,Netherlands,390,0,0,0,0.005,4
Connor Roberts,Defender,Wales,201,0,0,0,0.18199999999999997,3
Alireza Beiranvand,Goalkeeper,Iran,650,0,0,0,0.007,8
Abdullah Otayf,Midfielder,Saudi Arabia,244,0,0,1,0,6
Trent Sainsbury,Defender,Australia,270,0,0,0,0,3
Toby Alderweireld,Defender,Belgium,816,0,0,2,0.424,10
Medhi Benatia,Defender,Morocco,180,0,0,0,0,3
Angus Gunn,Goalkeeper,Scotland,270,0,0,0,0.005,3
Martín Cáceres,Defender,Uruguay,540,0,0,0,0.016,8
Majid Hosseini,Defender,Iran,460,0,0,0,0.013000000000000001,6
Paul Pogba,Midfielder,France,539,1,0,0,0,7
Gen Shoji,Defender,Japan,270,0,0,0,0,4
Franco Armani,Goalkeeper,Argentina,180,0,0,0,0,11
Andries Noppert,Goalkeeper,Netherlands,480,0,0,0,0.003,5
Paolo Guerrero,Forward,Peru,208,1,0,1,0,3
Hyeon-woo Jo,Goalkeeper,South Korea,270,0,0,0,0,10
Matt Turner,Goalkeeper,USA,450,0,0,0,0.003,9
Yann Sommer,Goalkeeper,Switzerland,630,0,0,0,0,7
Henrik Dalsgaard,Defender,Denmark,390,0,0,0,0,4
Kári Árnason,Defender,Iceland,180,0,0,0,0,3
Eiji Kawashima,Goalkeeper,Japan,360,0,0,0,0,8
Arthur Masuaku,Defender,DR Congo,318,0,0,1,0.5720000000000001,4
Ali Gabr,Defender,Egypt,270,0,0,0,0,3
David Møller Wolfe,Defender,Norway,431,0,0,1,0.641,6
Uğurcan Çakır,Goalkeeper,Türkiye,277,0,0,0,0.005,3
Johan Venegas,Forward,Costa Rica,224,0,0,0,0.003,6
Kim Moon-hwan,Defender,South Korea,431,0,0,0,0.313,7
