ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,matches_played,key_passes,big_chances_created,assists,xa,assists_xa
Thorgan Hazard,Midfielder,Belgium,203,10,9,3,0,0.7569999999999999,
Piotr Zielinski,Midfielder,Poland,589,7,9,0,0,0.366,
Noni Madueke,Forward,England,288,8,9,3,0,1.619,-1.619
Akram Afif,Midfielder,Qatar,509,6,9,1,0,0.625,-0.625
Granit Xhaka,Midfielder,Switzerland,1327,14,9,0,0,0.591,-0.591
Pedro Vite,Midfielder,Ecuador,360,4,9,1,1,0.841,0.15900000000000003
Olivier Giroud,Forward,France,969,14,9,1,1,0.322,0.6779999999999999
Isco,Midfielder,Spain,390,4,9,1,0,0,
Bernardo Silva,Midfielder,Portugal,699,14,9,0,0,0.33499999999999996,-0.33499999999999996
Viktor Gyökeres,Forward,Sweden,367,4,9,2,2,0.254,1.746
Cristiano Ronaldo,Forward,Portugal,1092,14,9,1,0,0.241,-0.241
Romelu Lukaku,Forward,Belgium,771,15,9,1,2,0.306,1.694
Moisés Caicedo,Midfielder,Ecuador,629,7,9,3,0,2.106,-2.106
Juan Cuadrado,Midfielder,Colombia,331,4,8,0,1,0,
Nacer Chadli,Midfielder,Belgium,327,7,8,2,1,0,
Brahim Díaz,Midfielder,Morocco,462,6,8,4,4,0.931,3.069
Mario Mandžukić,Forward,Croatia,608,7,8,2,1,0,
Luis Suárez,Forward,Uruguay,597,8,8,2,2,0.12,1.88
Hans Vanaken,Midfielder,Belgium,329,9,8,1,2,0.5569999999999999,1.443
Bradley Barcola,Forward,France,384,8,8,1,1,0.376,0.624
Raheem Sterling,Forward,England,604,11,8,1,2,0.062,1.938
Viktor Claesson,Midfielder,Sweden,434,5,8,2,2,0,
Gabriel Jesus,Forward,Brazil,505,8,8,1,1,0.068,0.9319999999999999
Jhon Arias,Midfielder,Colombia,381,5,8,1,0,0.596,-0.596
Chris Wood,Forward,New Zealand,281,3,7,2,2,0.191,1.809
Robert Lewandowski,Forward,Poland,630,7,7,1,1,0.44699999999999995,0.553
Maxi Meza,Midfielder,Argentina,207,4,7,1,0,0,
Sebastian Berhalter,Midfielder,USA,200,5,7,2,1,0.387,0.613
Gabriel Martinelli,Forward,Brazil,260,10,7,2,0,0.723,-0.723
Yoel Bárcenas,Midfielder,Panama,472,6,7,2,0,0.313,-0.313
David Silva,Midfielder,Spain,327,4,7,0,0,0,
Tajon Buchanan,Midfielder,Canada,642,8,7,1,1,0.912,0.08799999999999997
Alexander Isak,Forward,Sweden,360,4,7,3,3,0.482,2.518
Andrés Iniesta,Midfielder,Spain,284,4,7,1,1,0,
Morgan Rogers,Midfielder,England,349,8,7,2,1,0.854,0.14600000000000002
Fabián Ruiz,Midfielder,Spain,331,8,7,1,0,0.328,-0.328
John Yeboah,Forward,Ecuador,315,4,7,2,0,0.57,-0.57
Giorgian de Arrascaeta,Midfielder,Uruguay,194,9,7,3,0,0.5579999999999999,
Julián Alvarez,Forward,Argentina,1068,15,7,0,0,1.202,-1.202
Josip Juranović,Midfielder,Croatia,600,7,7,0,1,0.311,0.6890000000000001
Wahbi Khazri,Forward,Tunisia,346,6,7,1,2,0.018,1.982
Lamine Yamal,Midfielder,Spain,615,8,7,2,0,1.397,-1.397
Hakan Çalhanoğlu,Midfielder,Türkiye,187,3,7,1,0,0.6859999999999999,-0.6859999999999999
Bilal El Khannouss,Midfielder,Morocco,522,13,7,1,0,0.7290000000000001,-0.7290000000000001
Malik Tillman,Midfielder,USA,370,5,7,1,1,0.702,0.29800000000000004
Edinson Cavani,Forward,Uruguay,466,7,7,3,0,0.159,
Gaku Shibasaki,Midfielder,Japan,341,8,7,1,1,0,
Leroy Sané,Midfielder,Germany,438,7,7,3,1,2.1679999999999997,-1.1679999999999997
Juninho Bacuna,Midfielder,Curaçao,255,3,6,0,0,0.139,-0.139
Timothy Weah,Midfielder,USA,396,9,6,1,0,0.215,-0.215
Lautaro Martínez,Forward,Argentina,549,15,6,3,1,0.513,0.487
Kamil Grosicki,Midfielder,Poland,226,7,6,2,1,0.106,0.894
Julio Enciso,Midfielder,Paraguay,387,5,6,2,2,0.268,1.732
Toni Kroos,Midfielder,Germany,270,3,6,0,0,0,
Pervis Estupiñán,Midfielder,Ecuador,359,7,6,0,0,0.449,-0.449
Phil Foden,Midfielder,England,259,5,6,2,2,0.446,1.554
Serge Gnabry,Midfielder,Germany,264,3,6,2,1,0.6609999999999999,0.3390000000000001
Denzel Dumfries,Midfielder,Netherlands,870,9,6,2,4,1.2570000000000001,2.743
Krépin Diatta,Midfielder,Senegal,572,8,6,2,0,0.7210000000000001,-0.7210000000000001
Julian Ryerson,Midfielder,Norway,226,6,6,1,0,1.001,-1.001
Andre Carrillo,Midfielder,Peru,259,3,6,0,0,0,
Frenkie de Jong,Midfielder,Netherlands,807,9,6,1,1,0.9119999999999999,0.08800000000000008
Sergio Busquets,Midfielder,Spain,754,8,6,1,1,0.22999999999999998,0.77
Nicolás González,Midfielder,Argentina,253,8,6,1,1,1.019,-0.018999999999999906
Martin Ødegaard,Midfielder,Norway,471,6,6,2,4,1.033,2.967
Andreas Cornelius,Forward,Denmark,253,7,6,0,0,0.034999999999999996,
João Mário,Midfielder,Portugal,356,9,6,0,0,0.028999999999999998,
Leandro Paredes,Midfielder,Argentina,697,15,6,0,0,0.669,-0.669
Yasin Ayari,Midfielder,Sweden,348,4,6,1,0,0.49,-0.49
Erling Haaland,Forward,Norway,465,6,6,1,0,0.36,-0.36
Steven Zuber,Midfielder,Switzerland,252,3,6,1,0,0,
Jesse Lingard,Forward,England,527,7,6,1,1,0,
Anthony Gordon,Forward,England,412,8,6,2,3,0.42999999999999994,2.5700000000000003
Teboho Mokoena,Midfielder,South Africa,270,3,6,0,0,0.268,-0.268
Gustavo Puerta,Midfielder,Colombia,470,5,6,2,1,0.403,0.597
Mikel Oyarzabal,Forward,Spain,605,8,6,1,1,0.714,0.28600000000000003
Idrissa Gana Gueye,Midfielder,Senegal,904,10,6,1,0,0.921,-0.921
Richarlison,Forward,Brazil,326,5,6,3,0,0.358,
Javier Hernández,Forward,Mexico,330,4,6,1,1,0,
Daichi Kamada,Midfielder,Japan,655,8,6,1,0,0.479,-0.479
Shinji Kagawa,Midfielder,Japan,232,4,6,0,1,0,
Tijjani Reijnders,Midfielder,Netherlands,201,4,6,0,1,0.384,0.616
Charles De Ketelaere,Forward,Belgium,368,9,6,0,1,0.496,0.504
M'Baye Niang,Forward,Senegal,247,3,6,0,1,0,
Timo Werner,Forward,Germany,266,3,6,1,0,0,
Lamine Camara,Midfielder,Senegal,250,4,6,1,1,0.894,0.10599999999999998
Marcel Sabitzer,Midfielder,Austria,360,4,6,1,0,0.994,-0.994
Rodrigo Bentancur,Midfielder,Uruguay,849,11,6,0,1,0.251,0.749
Aleksandr Golovin,Midfielder,Russia,402,5,6,2,2,0,
Mostafa Ziko,Midfielder,Egypt,375,5,6,3,1,0.531,0.469
Jefferson Lerma,Midfielder,Colombia,588,9,6,0,0,0.174,-0.174
Ola Toivonen,Forward,Sweden,400,5,5,2,1,0,
Joel Campbell,Midfielder,Costa Rica,382,6,5,0,1,0.091,0.909
Djibril Sow,Midfielder,Switzerland,523,10,5,0,1,0.247,0.753
Andrija Zivkovic,Midfielder,Serbia,228,6,5,2,2,0.8200000000000001,1.18
Craig Goodwin,Midfielder,Australia,235,4,5,1,0,0.293,
Brian Gutiérrez,Midfielder,Mexico,211,5,5,0,0,0.217,-0.217
Federico Valverde,Midfielder,Uruguay,507,6,5,2,0,0.653,-0.653
Memphis Depay,Forward,Netherlands,351,9,5,1,1,0.5630000000000001,0.43699999999999994
Aleksandr Samedov,Midfielder,Russia,359,5,5,0,0,0,
Gylfi Sigurðsson,Midfielder,Iceland,270,3,5,1,0,0,
Kenan Yıldız,Forward,Türkiye,226,3,5,1,0,0.7080000000000001,-0.7080000000000001
Brian Brobbey,Forward,Netherlands,232,4,5,0,0,0.113,-0.113
Artem Dzyuba,Forward,Russia,333,5,5,0,2,0,
Gilberto Mora,Midfielder,Mexico,215,5,5,0,0,0.299,-0.299
Luis Chávez,Midfielder,Mexico,294,8,5,0,0,0.807,-0.807
Brenden Aaronson,Midfielder,USA,182,9,5,0,0,0.376,-0.376
Christian Cueva,Midfielder,Peru,262,3,5,0,0,0,
Riyad Mahrez,Midfielder,Algeria,263,4,5,0,1,0.521,0.479
Marcus Rashford,Forward,England,588,20,5,4,1,0.549,0.45099999999999996
Nicolai Jørgensen,Forward,Denmark,212,4,5,1,1,0,
Arda Güler,Midfielder,Türkiye,277,3,5,0,0,0.707,-0.707
Marwan Attia,Midfielder,Egypt,445,5,5,1,1,1.293,-0.2929999999999999
Pape Gueye,Midfielder,Senegal,388,8,5,0,1,0.20400000000000001,0.796
Iliman Ndiaye,Midfielder,Senegal,259,8,5,1,3,0.393,2.607
Ellyes Skhiri,Midfielder,Tunisia,791,9,5,0,0,0.08,-0.08
Oghenekaro Etebo,Midfielder,Nigeria,269,3,5,0,0,0,
Andreas Schjelderup,Midfielder,Norway,251,6,5,2,3,0.738,2.262
Grzegorz Krychowiak,Midfielder,Poland,604,7,5,1,0,0.061000000000000006,
Yuya Osako,Forward,Japan,308,4,5,0,0,0,
Jordan Henderson,Midfielder,England,766,20,5,0,0,1.423,-1.423
Hannibal Mejbri,Midfielder,Tunisia,287,6,5,1,2,0.29300000000000004,1.7069999999999999
Mikel Merino,Midfielder,Spain,210,8,5,1,0,0.719,-0.719
Jérémy Doku,Midfielder,Belgium,334,8,5,0,0,0.858,-0.858
Rafik Belghali,Midfielder,Algeria,333,4,5,2,0,0.421,-0.421
Fakhreddine Ben Youssef,Forward,Tunisia,270,3,5,0,0,0,
Willian,Midfielder,Brazil,361,5,5,1,1,0,
Ritsu Doan,Midfielder,Japan,500,8,5,1,1,0.796,0.20399999999999996
Aiden O'Neill,Midfielder,Australia,367,4,5,0,0,0.361,-0.361
João Félix,Forward,Portugal,538,10,5,1,2,0.3,1.7
Sergej Milinkovic-Savic,Midfielder,Serbia,506,6,5,1,0,0.228,
Eberechi Eze,Midfielder,England,209,8,5,1,1,1.2,-0.19999999999999996
Naïm Sliti,Midfielder,Tunisia,295,6,5,0,0,0.104,
Bryan Mbeumo,Forward,Cameroon,226,3,5,0,0,0.17,
Wataru Endo,Midfielder,Japan,311,8,4,2,0,0.375,
Patrick Berg,Midfielder,Norway,444,6,4,3,2,1.21,0.79
Oscar Bobb,Midfielder,Norway,233,6,4,0,0,0.48,-0.48
Kai Havertz,Forward,Germany,458,7,4,1,0,0.877,-0.877
Martin Baturina,Midfielder,Croatia,324,4,4,0,0,0.303,-0.303
Leandro Bacuna,Midfielder,Curaçao,270,3,4,0,0,0.074,-0.074
Keito Nakamura,Midfielder,Japan,310,4,4,1,1,0.409,0.591
Celso Borges,Midfielder,Costa Rica,521,6,4,0,0,0.025,
Hwang In-beom,Midfielder,South Korea,606,7,4,1,1,0.8019999999999999,0.19800000000000006
Nicolas Pépé,Forward,Côte d'Ivoire,244,4,4,1,1,0.507,0.493
Roman Zobnin,Midfielder,Russia,510,5,4,1,1,0,
Sofiane Boufal,Forward,Morocco,482,7,4,0,0,0.45299999999999996,
