ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,matches_played,key_passes,big_chances_created,assists,xa,assists_xa
Ao Tanaka,Midfielder,Japan,365,8,2,0,0,0.434,-0.434
Pedro Neto,Midfielder,Portugal,352,5,2,0,1,0.552,0.44799999999999995
Cédric Soares,Midfielder,Portugal,270,4,2,0,0,0,
Abdelaziz Hatem,Midfielder,Qatar,241,6,2,0,0,0.044,-0.044
Hamdy Fathy,Midfielder,Egypt,241,4,2,0,0,0.018,-0.018
Edmilson Junior,Midfielder,Qatar,212,3,2,1,1,0.608,0.392
Nico Williams,Midfielder,Spain,266,12,2,2,1,0.48000000000000004,0.52
Birkir Bjarnason,Midfielder,Iceland,269,3,2,0,0,0,
Miguel Almirón,Midfielder,Paraguay,288,4,2,0,0,0.04,-0.04
Ben Gannon-Doak,Midfielder,Scotland,187,3,2,0,0,0.089,-0.089
Wilfred Ndidi,Midfielder,Nigeria,270,3,2,0,0,0,
Karim Ansarifard,Forward,Iran,213,6,2,0,0,0.044,
Nikola Vlašić,Midfielder,Croatia,394,11,2,0,0,0.27799999999999997,-0.27799999999999997
Issam Jebali,Forward,Tunisia,184,3,2,1,0,0.195,
Jakub Kamiński,Midfielder,Poland,233,4,2,1,0,0.38,
Ethan Ampadu,Midfielder,Wales,256,3,2,0,0,0.062,
Dan Ndoye,Midfielder,Switzerland,408,6,2,0,0,0.22699999999999998,-0.22699999999999998
Chemsdine Talbi,Midfielder,Morocco,183,6,2,1,1,0.14300000000000002,0.857
Alvaro Morata,Forward,Spain,183,4,2,0,1,0.128,0.872
Michael Gregoritsch,Forward,Austria,190,4,2,1,1,0.23700000000000002,0.763
Steven Berghuis,Forward,Netherlands,199,5,2,0,1,0.157,0.843
Axel Witsel,Midfielder,Belgium,851,16,2,0,0,0.05,-0.05
Cheikhou Kouyaté,Midfielder,Senegal,191,4,2,0,0,0.024,
Jürgen Locadia,Forward,Curaçao,237,3,2,0,0,0.049,-0.049
Romano Schmid,Midfielder,Austria,266,4,2,0,0,0.362,-0.362
Edison Flores,Forward,Peru,242,3,2,0,0,0,
Daizen Maeda,Forward,Japan,428,8,2,0,0,0.20600000000000002,-0.20600000000000002
Wilson Isidor,Forward,Haiti,188,3,2,0,0,0.073,-0.073
Antoine Semenyo,Midfielder,Ghana,387,7,2,0,0,0.046,-0.046
Michy Batshuayi,Forward,Belgium,266,10,2,0,0,0.022000000000000002,
Luis Javier Suárez,Forward,Colombia,332,5,2,1,1,0.156,0.844
Ali Gholizadeh,Midfielder,Iran,199,3,2,0,1,0.675,0.32499999999999996
Antonio Nusa,Forward,Norway,325,6,2,0,0,0.186,-0.186
Yaya Sithole,Midfielder,South Africa,229,3,2,0,0,0.028,-0.028
N'Golo Kanté,Midfielder,France,595,15,2,0,0,0,
Ricardo Pepi,Forward,USA,217,5,2,1,0,0.193,-0.193
Marcus Pedersen,Midfielder,Norway,236,6,2,0,0,0.247,-0.247
Ali Al-Hamadi,Forward,Iraq,181,3,2,1,0,0.014,-0.014
Ivan Šunjić,Midfielder,Bosnia & Herzegovina,198,4,2,0,0,0.033,-0.033
Gareth Bale,Forward,Wales,225,3,2,0,0,0.217,
Rúben Neves,Midfielder,Portugal,325,10,2,0,0,0.121,-0.121
Samuel Moutoussamy,Midfielder,DR Congo,333,4,2,0,0,0.175,-0.175
Paul Okon-Engstler,Midfielder,Australia,204,4,2,1,1,0.07200000000000001,0.9279999999999999
Marco Reus,Midfielder,Germany,210,3,2,0,1,0,
Gonçalo Ramos,Forward,Portugal,203,10,2,1,1,0.091,0.909
Felix Nmecha,Midfielder,Germany,272,4,2,2,1,0.525,0.475
Ismael Koné,Midfielder,Canada,253,5,2,0,0,0.407,-0.407
Ruben Providence,Midfielder,Haiti,223,3,2,0,0,0.211,-0.211
Kevin Pina,Midfielder,Cabo Verde,351,4,2,0,0,0.051000000000000004,-0.051000000000000004
Michal Sadílek,Midfielder,Czechia,190,3,2,0,0,0.135,-0.135
Tahith Chong,Midfielder,Curaçao,249,3,2,0,0,0.066,-0.066
İlkay Gündoğan,Midfielder,Germany,251,6,2,0,0,0.30400000000000005,
Anice Badri,Forward,Tunisia,225,3,2,0,0,0,
Iñaki Williams,Midfielder,Ghana,380,7,2,0,1,0.064,0.9359999999999999
Armando Cooper,Midfielder,Panama,180,2,2,0,0,0,
Mohamed Elneny,Midfielder,Egypt,244,3,2,0,0,0,
Tani Oluwaseyi,Forward,Canada,260,5,2,0,0,0.078,-0.078
Franck Kessié,Midfielder,Côte d'Ivoire,347,4,2,0,0,0.124,-0.124
Ibrahim Sangaré,Midfielder,Côte d'Ivoire,268,4,2,1,1,0.127,0.873
Genki Haraguchi,Midfielder,Japan,246,4,2,0,0,0,
Noor Al-Rawabdeh,Midfielder,Jordan,270,3,2,0,1,0.038,0.962
Borna Sosa,Midfielder,Croatia,425,6,2,1,0,0.497,
Woo-Young Jung,Midfielder,South Korea,431,7,2,0,0,0.10600000000000001,
Diego Gómez,Midfielder,Paraguay,307,4,2,0,0,0.037,-0.037
Saeid Ezatolahi,Midfielder,Iran,649,8,2,0,0,0.402,-0.402
Deroy Duarte,Midfielder,Cabo Verde,264,4,2,0,0,0.038,-0.038
Mousa Tamari,Forward,Jordan,217,3,2,0,1,0.14600000000000002,0.854
Ahmed Musa,Forward,Nigeria,207,3,2,0,0,0,
Nilson Angulo,Midfielder,Ecuador,218,4,2,0,0,0.159,-0.159
Saman Ghoddos,Midfielder,Iran,285,9,2,0,0,0.055,-0.055
Ryan Gravenberch,Midfielder,Netherlands,347,4,2,0,2,0.29000000000000004,1.71
Hidemasa Morita,Midfielder,Japan,285,4,2,0,0,0.08600000000000001,
David Guzmán,Midfielder,Costa Rica,245,3,2,1,0,0,
Bryan Ruiz,Midfielder,Costa Rica,299,6,2,0,0,0,
Takashi Inui,Midfielder,Japan,292,4,2,1,1,0,
Andrés Cubas,Midfielder,Paraguay,491,5,2,0,0,0.04,-0.04
Edson Álvarez,Midfielder,Mexico,702,12,2,1,0,0.403,-0.403
Silvan Widmer,Midfielder,Switzerland,445,9,2,2,1,0.886,0.11399999999999999
Corentin Tolisso,Midfielder,France,201,7,2,0,1,0,
Paolo Guerrero,Forward,Peru,208,3,2,0,1,0,
Jhegson Méndez,Midfielder,Ecuador,180,2,2,0,0,0.124,
Thomas Delaney,Midfielder,Denmark,412,5,2,0,1,0.005,0.995
Abdullah Otayf,Midfielder,Saudi Arabia,244,6,2,0,1,0,
Alexis Vega,Midfielder,Mexico,206,8,1,0,0,0.07500000000000001,-0.07500000000000001
Nasser Al-Dawsari,Midfielder,Saudi Arabia,218,6,1,0,0,0.10600000000000001,-0.10600000000000001
Anthony Elanga,Forward,Sweden,221,4,1,0,0,0.113,-0.113
Aaron Ramsey,Midfielder,Wales,267,3,1,0,0,0.064,
Gabriel Gómez,Midfielder,Panama,249,3,1,0,0,0,
Boulaye Dia,Forward,Senegal,320,4,1,0,0,0.08399999999999999,
Pierre Emile Hojbjerg,Midfielder,Denmark,270,3,1,0,0,0.122,
Youssef En-Nesyri,Forward,Morocco,565,10,1,0,0,0.026,
Wilmar Barrios,Midfielder,Colombia,269,4,1,0,0,0,
Amine Gouiri,Forward,Algeria,260,4,1,0,0,0.069,-0.069
Albin Ekdal,Midfielder,Sweden,421,5,1,0,0,0,
Yuriy Gazinskiy,Midfielder,Russia,266,5,1,0,0,0,
Omid Ebrahimi,Midfielder,Iran,260,3,1,0,0,0,
Akmal Mozgovoy,Midfielder,Uzbekistan,217,3,1,0,1,0.051,0.949
Joe Bell,Midfielder,New Zealand,255,3,1,0,0,0.08199999999999999,-0.08199999999999999
Ibrahim Bayesh,Midfielder,Iraq,237,3,1,0,0,0.061,-0.061
Michael Estrada,Forward,Ecuador,227,3,1,0,0,0.363,
Karim Boudiaf,Midfielder,Qatar,287,6,1,0,0,0.056,-0.056
Ante Rebić,Forward,Croatia,547,7,1,0,0,0,
Yussuf Poulsen,Forward,Denmark,269,6,1,0,0,0,
Elijah Just,Midfielder,New Zealand,265,3,1,0,0,0.362,-0.362
Mohanad Lasheen,Midfielder,Egypt,370,4,1,0,0,0.08399999999999999,-0.08399999999999999
Arkadiusz Milik,Forward,Poland,180,7,1,0,0,0.011,
Daler Kuzyaev,Midfielder,Russia,304,5,1,0,0,0,
Haris Seferović,Forward,Switzerland,210,8,1,0,0,0.006,
Assim Madibo,Midfielder,Qatar,286,5,1,0,0,0.017,-0.017
Radamel Falcao,Forward,Colombia,377,4,1,0,0,0,
Robbie Kruse,Midfielder,Australia,210,3,1,0,0,0,
Nampalys Mendy,Midfielder,Senegal,273,4,1,0,0,0.059,
Cédric Bakambu,Forward,DR Congo,193,4,1,0,0,0.20400000000000001,-0.20400000000000001
Benjamin Tahirović,Midfielder,Bosnia & Herzegovina,237,4,1,0,0,0.043,-0.043
Lewis Ferguson,Midfielder,Scotland,270,3,1,0,0,0.132,-0.132
Youssouf Fofana,Midfielder,France,225,7,1,0,0,0.11499999999999999,
Ante Budimir,Forward,Croatia,209,11,1,0,0,0.013000000000000001,-0.013000000000000001
Marwan Mohsen,Forward,Egypt,209,3,1,0,0,0,
Matheus Cunha,Forward,Brazil,293,5,1,0,0,0.08700000000000001,-0.08700000000000001
Danley Jean Jacques,Midfielder,Haiti,260,3,1,0,0,0.040999999999999995,-0.040999999999999995
Nemanja Matić,Midfielder,Serbia,270,3,1,0,0,0,
Paul Wanner,Midfielder,Austria,234,4,1,0,0,0.092,-0.092
Nicolas Seiwald,Midfielder,Austria,315,4,1,0,0,0.094,-0.094
Otabek Shukurov,Midfielder,Uzbekistan,238,3,1,0,0,0.08399999999999999,-0.08399999999999999
Abbosbek Fayzullaev,Midfielder,Uzbekistan,223,3,1,0,0,0.022,-0.022
Josué Casimir,Midfielder,Haiti,181,3,1,0,0,0.067,-0.067
José Luis Rodríguez,Midfielder,Panama,478,6,1,0,0,0.04,-0.04
Nahitan Nández,Midfielder,Uruguay,293,5,1,0,0,0,
Matias Vecino,Midfielder,Uruguay,612,8,1,0,0,0.031,
Sung-Yueng Ki,Midfielder,South Korea,180,3,1,0,0,0,
Mason Mount,Midfielder,England,186,5,1,0,0,0.058,
Ngal'ayel Mukau,Midfielder,DR Congo,196,4,1,0,0,0.09000000000000001,-0.09000000000000001
Mitchell Duke,Forward,Australia,274,4,1,0,0,0.016,
Yeltsin Tejeda,Midfielder,Costa Rica,276,6,1,0,1,0.042,0.958
Alexander Bernhardsson,Midfielder,Sweden,221,4,1,0,0,0.058,-0.058
Kamaldeen Sulemana,Forward,Ghana,186,7,1,0,0,0.173,-0.173
Emil Hallfreðsson,Midfielder,Iceland,180,3,1,0,0,0,
Lasse Schöne,Midfielder,Denmark,219,4,1,0,0,0,
Filip Kostic,Midfielder,Serbia,346,6,1,0,0,0.15599999999999997,
Keysher Fuller,Midfielder,Costa Rica,254,3,1,1,0,0.123,
Gavi,Midfielder,Spain,369,12,1,0,0,0.258,-0.258
Pathé Ismaël Ciss,Midfielder,Senegal,336,8,1,0,0,0.057,-0.057
Alan Franco,Midfielder,Ecuador,300,7,1,0,0,0.034,-0.034
Oswin Appollis,Midfielder,South Africa,255,4,1,0,0,0.189,-0.189
Salis Abdul Samed,Midfielder,Ghana,251,3,1,0,0,0.052000000000000005,
Caleb Yirenkyi,Midfielder,Ghana,272,4,1,0,0,0.057999999999999996,-0.057999999999999996
Pavel Šulc,Forward,Czechia,189,3,1,0,0,0.341,-0.341
Johan Venegas,Forward,Costa Rica,224,6,1,0,0,0.003,
Seung Ho Paik,Midfielder,South Korea,231,7,1,0,0,0.097,-0.097
Fahad Al-Muwallad,Midfielder,Saudi Arabia,183,3,1,0,0,0,
Scott McTominay,Midfielder,Scotland,270,3,1,0,0,0.047,-0.047
Younès Belhanda,Midfielder,Morocco,228,3,1,0,0,0,
Leander Dendoncker,Midfielder,Belgium,252,10,1,1,0,0.335,
Pione Sisto,Forward,Denmark,232,4,1,0,0,0,
Przemyslaw Frankowski,Midfielder,Poland,240,4,1,1,0,0.148,
Nizar Al-Rashdan,Midfielder,Jordan,256,3,1,0,0,0.057999999999999996,-0.057999999999999996
Zidane Iqbal,Midfielder,Iraq,188,3,1,0,0,0.043,-0.043
Karim El Ahmadi,Midfielder,Morocco,266,3,1,0,0,0,
Yoane Wissa,Forward,DR Congo,360,4,1,0,0,0.057999999999999996,-0.057999999999999996
Kaishu Sano,Midfielder,Japan,270,4,1,0,1,0.333,0.667
Gue-sung Cho,Forward,South Korea,311,7,1,0,0,0.097,-0.097
Sarpreet Singh,Midfielder,New Zealand,210,3,1,0,0,0.061,-0.061
Xaver Schlager,Midfielder,Austria,239,4,1,0,1,0.057,0.943
Ange-Yoan Bonny,Forward,Côte d'Ivoire,236,4,0,0,0,0.535,-0.535
Matheus Uribe,Midfielder,Colombia,182,4,0,0,0,0,
Federico Viñas,Forward,Uruguay,192,3,0,0,0,0.082,-0.082
Ahmad Nourollahi,Midfielder,Iran,226,3,0,0,0,0.014,
Denis Cheryshev,Midfielder,Russia,304,5,0,0,0,0,
Amar Memić,Midfielder,Bosnia & Herzegovina,224,4,0,0,0,0.013999999999999999,-0.013999999999999999
Mohammed Kudus,Midfielder,Ghana,249,3,0,0,0,0.08,
Valon Behrami,Midfielder,Switzerland,311,4,0,0,0,0,
Enzo Pérez,Midfielder,Argentina,195,4,0,0,0,0,
Tarek Hamed,Midfielder,Egypt,230,3,0,0,0,0,
Damián Bobadilla,Midfielder,Paraguay,190,5,0,0,0,0.026000000000000002,-0.026000000000000002
Steven Bergwijn,Midfielder,Netherlands,214,5,0,0,0,0.25,
Evidence Makgopa,Forward,South Africa,213,4,0,0,0,0.037,-0.037
Abdulla Abdullaev,Midfielder,Uzbekistan,180,3,0,0,0,0.009000000000000001,-0.009000000000000001
Patrik Schick,Forward,Czechia,180,3,0,0,0,0.01,-0.01
Mohamed Kanno,Midfielder,Saudi Arabia,510,9,0,0,0,0.17400000000000002,-0.17400000000000002
Kwasi Sibo,Midfielder,Ghana,249,4,0,0,0,0.034,-0.034
Almoez Ali,Midfielder,Qatar,244,6,0,0,0,0.008,-0.008
Aníbal Godoy,Midfielder,Panama,255,6,0,0,0,0.004,-0.004
Frank Anguissa,Midfielder,Cameroon,261,3,0,0,0,0.086,
Amadou Onana,Midfielder,Belgium,211,7,0,0,0,0.257,-0.257
Jesper Lindstrøm,Midfielder,Denmark,200,3,0,0,0,0.035,
Ermedin Demirović,Forward,Bosnia & Herzegovina,356,4,0,0,0,0.033,-0.033
Jacek Goralski,Midfielder,Poland,180,3,0,0,0,0,
Randal Kolo Muani,Forward,France,180,7,0,0,0,0.037,
Thalente Mbatha,Midfielder,South Africa,259,4,0,0,0,0.048999999999999995,-0.048999999999999995
Ayyoub Bouaddi,Midfielder,Morocco,384,6,0,0,0,0.053,-0.053
Folarin Balogun,Forward,USA,317,5,0,0,0,0.126,-0.126
Sasa Lukic,Midfielder,Serbia,246,3,0,0,0,0.096,
Abdullah Al-Khaibari,Midfielder,Saudi Arabia,180,6,0,0,0,0.008,-0.008
André Ayew,Forward,Ghana,200,3,0,0,0,0.005,
Marten de Roon,Midfielder,Netherlands,195,9,0,0,0,0.030000000000000002,-0.030000000000000002
Tom Rogić,Midfielder,Australia,226,3,0,0,0,0,
